# Target corrupted window: W022
Neighbor context C_t = ['W021', 'W022', 'W023']
Stage-1 inconsistency clues for target: corruption_score=7.063482061964719, unsupported_flow_count=2, unsupported_external_flow_count=1, unsupported_metric_clue_count=0, unsupported_metric_zsum=0.0

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W021

### Observed corrupted audit log snippets
- B004056 | 2026-01-20 12:30:05 | W021 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B005247 | 2026-01-20 12:31:13 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002006 | 2026-01-20 12:31:29 | W021 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B004581 | 2026-01-20 12:31:30 | W021 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B004074 | 2026-01-20 12:31:35 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B005144 | 2026-01-20 12:32:00 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002012 | 2026-01-20 12:32:03 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002013 | 2026-01-20 12:32:05 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002011 | 2026-01-20 12:32:15 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002010 | 2026-01-20 12:32:15 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B003827 | 2026-01-20 12:32:19 | W021 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B002014 | 2026-01-20 12:32:19 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002016 | 2026-01-20 12:32:23 | W021 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B002020 | 2026-01-20 12:32:24 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002017 | 2026-01-20 12:32:26 | W021 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --write--> /home/u_dev/src/portal/tests/test_api.py (file) | cmd=write | args=normal development file/cache update
- B004734 | 2026-01-20 12:32:36 | W021 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B003966 | 2026-01-20 12:32:40 | W021 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B004931 | 2026-01-20 12:33:00 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002022 | 2026-01-20 12:33:06 | W021 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002023 | 2026-01-20 12:33:07 | W021 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B002021 | 2026-01-20 12:33:09 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002025 | 2026-01-20 12:33:17 | W021 | host=file-srv-01 user=svc_backup process=backup-agent | backup-agent:1230@file-srv-01 --connect--> 10.20.1.41:873 (socket) | cmd=connect | args=backup metadata sync to monitoring server
- B002028 | 2026-01-20 12:33:40 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B004080 | 2026-01-20 12:33:55 | W021 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B003685 | 2026-01-20 12:33:59 | W021 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B002032 | 2026-01-20 12:34:09 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002031 | 2026-01-20 12:34:13 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002033 | 2026-01-20 12:34:13 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002030 | 2026-01-20 12:34:17 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B004441 | 2026-01-20 12:34:24 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002034 | 2026-01-20 12:34:26 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002038 | 2026-01-20 12:34:28 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B004144 | 2026-01-20 12:34:36 | W021 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B003996 | 2026-01-20 12:34:38 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002035 | 2026-01-20 12:34:48 | W021 | host=ws-dev-02 user=u_dev process=python3 | python3:2250@ws-dev-02 --execute--> /var/lib/docker/tmp/build-context.tar (file) | cmd=read | args=normal local development/test activity
- B002041 | 2026-01-20 12:35:19 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B004052 | 2026-01-20 12:35:20 | W021 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B002043 | 2026-01-20 12:35:23 | W021 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B002044 | 2026-01-20 12:35:25 | W021 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B002047 | 2026-01-20 12:35:28 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002039 | 2026-01-20 12:35:34 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002042 | 2026-01-20 12:35:36 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B004313 | 2026-01-20 12:35:42 | W021 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B003572 | 2026-01-20 12:35:46 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B005023 | 2026-01-20 12:35:47 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002045 | 2026-01-20 12:35:49 | W021 | host=ws-dev-02 user=u_dev process=python3 | python3:2232@ws-dev-02 --execute--> /home/u_dev/src/portal/requirements.txt (file) | cmd=read | args=normal local development/test activity
- B002040 | 2026-01-20 12:35:51 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B002048 | 2026-01-20 12:36:02 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- E0049 | 2026-01-20 12:36:04 | W021 | host=ws-finance-01 user=root process=syswatch | syswatch:3280@ws-finance-01 --read--> /tmp/.session-x1 (file) | cmd=read | args=read local session state before beacon
- B004412 | 2026-01-20 12:36:05 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002051 | 2026-01-20 12:36:06 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002050 | 2026-01-20 12:36:08 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002049 | 2026-01-20 12:36:15 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B004354 | 2026-01-20 12:36:16 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002061 | 2026-01-20 12:36:25 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002056 | 2026-01-20 12:36:27 | W021 | host=ws-finance-01 user=u_fin process=libreoffice | libreoffice:2112@ws-finance-01 --write--> /srv/share/finance/vendor_invoice.pdf (file) | cmd=write | args=autosave office document
- B002057 | 2026-01-20 12:36:30 | W021 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B002053 | 2026-01-20 12:36:35 | W021 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B003924 | 2026-01-20 12:37:48 | W021 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002068 | 2026-01-20 12:38:02 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B004090 | 2026-01-20 12:38:08 | W021 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002067 | 2026-01-20 12:38:13 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002070 | 2026-01-20 12:38:18 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002069 | 2026-01-20 12:38:18 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B005381 | 2026-01-20 12:38:21 | W021 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002078 | 2026-01-20 12:39:23 | W021 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B004682 | 2026-01-20 12:39:24 | W021 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002076 | 2026-01-20 12:39:29 | W021 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- ... 84 additional audit rows omitted for W021

### Network flow side-view evidence
- BF000770 | 2026-01-20 12:30:09~2026-01-20 12:30:13 | W021 | mon-srv-01 10.20.1.41:53657 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1638 bytes_in=7653 | related_audit=B001988
- BF000778 | 2026-01-20 12:30:12~2026-01-20 12:30:20 | W021 | ws-finance-01 10.20.1.11:49213 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=2030 bytes_in=21699 | related_audit=B001998
- BF000775 | 2026-01-20 12:30:13~2026-01-20 12:30:19 | W021 | mon-srv-01 10.20.1.41:53977 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=1541 bytes_in=16804 | related_audit=B001994
- BF000771 | 2026-01-20 12:30:18~2026-01-20 12:30:20 | W021 | mon-srv-01 10.20.1.41:59104 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1139 bytes_in=3009 | related_audit=B001989
- BF000772 | 2026-01-20 12:30:18~2026-01-20 12:30:20 | W021 | mon-srv-01 10.20.1.41:51697 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1546 bytes_in=5545 | related_audit=B001990
- BF000773 | 2026-01-20 12:30:19~2026-01-20 12:30:24 | W021 | mon-srv-01 10.20.1.41:44428 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1113 bytes_in=6705 | related_audit=B001991
- BF000774 | 2026-01-20 12:30:29~2026-01-20 12:30:33 | W021 | mon-srv-01 10.20.1.41:57870 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=1896 bytes_in=5759 | related_audit=B001993
- BF000777 | 2026-01-20 12:30:50~2026-01-20 12:30:57 | W021 | ws-finance-01 10.20.1.11:54866 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=1746 bytes_in=23169 | related_audit=B001996
- BF000776 | 2026-01-20 12:30:53~2026-01-20 12:31:01 | W021 | mon-srv-01 10.20.1.41:51675 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=1382 bytes_in=7835 | related_audit=B001995
- F0009 | 2026-01-20 12:31:04~2026-01-20 12:31:15 | W021 | ws-finance-01 10.20.1.11:49710 -> 198.51.100.77:443 | service=HTTPS pattern=beacon | bytes_out=1540 bytes_in=980 | related_audit=E0042
- BF000779 | 2026-01-20 12:31:29~2026-01-20 12:31:57 | W021 | ws-dev-02 10.20.1.12:42997 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=10690 bytes_in=37998 | related_audit=B002006
- BF000781 | 2026-01-20 12:32:04~2026-01-20 12:32:06 | W021 | mon-srv-01 10.20.1.41:60608 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=894 bytes_in=6980 | related_audit=B002011
- BF000780 | 2026-01-20 12:32:17~2026-01-20 12:32:21 | W021 | mon-srv-01 10.20.1.41:57209 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=821 bytes_in=3422 | related_audit=B002010
- BF000783 | 2026-01-20 12:32:18~2026-01-20 12:32:20 | W021 | mon-srv-01 10.20.1.41:50713 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1421 bytes_in=7660 | related_audit=B002013
- BF000782 | 2026-01-20 12:32:21~2026-01-20 12:32:27 | W021 | mon-srv-01 10.20.1.41:43418 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1539 bytes_in=6826 | related_audit=B002012
- BF000785 | 2026-01-20 12:32:23~2026-01-20 12:32:47 | W021 | ws-dev-02 10.20.1.12:46914 -> 192.0.2.30:443 | service=HTTPS pattern=dev_repo_access | bytes_out=6987 bytes_in=108603 | related_audit=B002016
- BF000784 | 2026-01-20 12:32:26~2026-01-20 12:32:32 | W021 | ws-finance-01 10.20.1.11:60690 -> 10.20.1.21:445 | service=SMB pattern=file_server_access | bytes_out=5194 bytes_in=138393 | related_audit=B002015
- BF000786 | 2026-01-20 12:33:06~2026-01-20 12:33:10 | W021 | ws-finance-01 10.20.1.11:46677 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=2106 bytes_in=25286 | related_audit=B002022
- F0010 | 2026-01-20 12:33:08~2026-01-20 12:33:18 | W021 | portal-web-01 10.20.1.31:49802 -> 198.51.100.77:443 | service=HTTPS pattern=beacon | bytes_out=1320 bytes_in=860 | related_audit=E0043
- BF000787 | 2026-01-20 12:33:17~2026-01-20 12:34:51 | W021 | file-srv-01 10.20.1.21:46215 -> 10.20.1.41:873 | service=RSYNC pattern=backup_sync | bytes_out=76675 bytes_in=14485 | related_audit=B002025
- BF000789 | 2026-01-20 12:34:02~2026-01-20 12:34:06 | W021 | mon-srv-01 10.20.1.41:48976 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1213 bytes_in=3256 | related_audit=B002031
- BF000791 | 2026-01-20 12:34:11~2026-01-20 12:34:15 | W021 | mon-srv-01 10.20.1.41:47153 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1650 bytes_in=3906 | related_audit=B002033
- BF000790 | 2026-01-20 12:34:15~2026-01-20 12:34:20 | W021 | mon-srv-01 10.20.1.41:51144 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1069 bytes_in=4302 | related_audit=B002032
- BF000788 | 2026-01-20 12:34:15~2026-01-20 12:34:18 | W021 | mon-srv-01 10.20.1.41:60472 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=803 bytes_in=5107 | related_audit=B002030
- BF000795 | 2026-01-20 12:35:23~2026-01-20 12:35:29 | W021 | ws-finance-01 10.20.1.11:56791 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=3871 bytes_in=25282 | related_audit=B002043
- BF000794 | 2026-01-20 12:35:26~2026-01-20 12:35:29 | W021 | mon-srv-01 10.20.1.41:50865 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=2173 bytes_in=9445 | related_audit=B002042
- BF000792 | 2026-01-20 12:35:29~2026-01-20 12:35:34 | W021 | mon-srv-01 10.20.1.41:59718 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=2169 bytes_in=11085 | related_audit=B002040
- BF000793 | 2026-01-20 12:35:54~2026-01-20 12:36:02 | W021 | mon-srv-01 10.20.1.41:49735 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=1330 bytes_in=9648 | related_audit=B002041
- BF000798 | 2026-01-20 12:36:02~2026-01-20 12:36:08 | W021 | mon-srv-01 10.20.1.41:54579 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1043 bytes_in=8978 | related_audit=B002050
- BF000796 | 2026-01-20 12:36:04~2026-01-20 12:36:07 | W021 | mon-srv-01 10.20.1.41:56973 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1790 bytes_in=4378 | related_audit=B002048
- BF000799 | 2026-01-20 12:36:10~2026-01-20 12:36:15 | W021 | mon-srv-01 10.20.1.41:50767 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1203 bytes_in=5560 | related_audit=B002051
- BF000797 | 2026-01-20 12:36:22~2026-01-20 12:36:28 | W021 | mon-srv-01 10.20.1.41:53576 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1571 bytes_in=5892 | related_audit=B002049
- BF000801 | 2026-01-20 12:36:24~2026-01-20 12:36:29 | W021 | ws-finance-01 10.20.1.11:45441 -> 10.20.1.21:445 | service=SMB pattern=file_server_access | bytes_out=5024 bytes_in=339316 | related_audit=B002055
- BF000802 | 2026-01-20 12:36:30~2026-01-20 12:37:14 | W021 | ws-dev-02 10.20.1.12:47302 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=40356 bytes_in=14692 | related_audit=B002057
