# Target corrupted window: W002
Neighbor context C_t = ['W001', 'W002', 'W003']
Stage-1 inconsistency clues for target: corruption_score=7.328671434852988, unsupported_flow_count=2, unsupported_external_flow_count=1, unsupported_metric_clue_count=0, unsupported_metric_zsum=0.0

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W001

### Observed corrupted audit log snippets
- B000103 | 2026-01-20 09:10:08 | W001 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000151 | 2026-01-20 09:15:20 | W001 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B000152 | 2026-01-20 09:15:21 | W001 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B005422 | 2026-01-20 09:15:24 | W001 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B004403 | 2026-01-20 09:15:28 | W001 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B000148 | 2026-01-20 09:15:30 | W001 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B000150 | 2026-01-20 09:15:48 | W001 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B000160 | 2026-01-20 09:16:02 | W001 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000158 | 2026-01-20 09:16:03 | W001 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000164 | 2026-01-20 09:16:04 | W001 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B000162 | 2026-01-20 09:16:05 | W001 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000161 | 2026-01-20 09:16:09 | W001 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000159 | 2026-01-20 09:16:11 | W001 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000166 | 2026-01-20 09:16:31 | W001 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B000167 | 2026-01-20 09:16:34 | W001 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --write--> /home/u_dev/src/portal/requirements.txt (file) | cmd=write | args=normal development file/cache update
- B000171 | 2026-01-20 09:16:36 | W001 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000168 | 2026-01-20 09:16:55 | W001 | host=ws-dev-02 user=u_dev process=python3 | python3:2232@ws-dev-02 --execute--> /home/u_dev/src/portal/tests/test_api.py (file) | cmd=execute | args=normal local development/test activity
- B000175 | 2026-01-20 09:17:11 | W001 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000172 | 2026-01-20 09:17:25 | W001 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B005585 | 2026-01-20 09:17:25 | W001 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B005567 | 2026-01-20 09:17:25 | W001 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B005454 | 2026-01-20 09:17:43 | W001 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000173 | 2026-01-20 09:17:51 | W001 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /var/lib/docker/tmp/build-context.tar (file) | cmd=read | args=normal local development/test activity
- B004889 | 2026-01-20 09:18:01 | W001 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B000177 | 2026-01-20 09:18:02 | W001 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000179 | 2026-01-20 09:18:04 | W001 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000176 | 2026-01-20 09:18:09 | W001 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000178 | 2026-01-20 09:18:10 | W001 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B003949 | 2026-01-20 09:18:14 | W001 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B004254 | 2026-01-20 09:18:18 | W001 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000188 | 2026-01-20 09:18:23 | W001 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000185 | 2026-01-20 09:18:31 | W001 | host=file-srv-01 user=svc_backup process=backup-agent | backup-agent:1230@file-srv-01 --connect--> 10.20.1.41:873 (socket) | cmd=connect | args=backup metadata sync to monitoring server
- B000181 | 2026-01-20 09:18:37 | W001 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B000191 | 2026-01-20 09:19:14 | W001 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /home/u_dev/src/portal/requirements.txt (file) | cmd=read | args=normal local development/test activity
- ... 55 additional audit rows omitted for W001

### Network flow side-view evidence
- BF000040 | 2026-01-20 09:10:02~2026-01-20 09:10:06 | W001 | mon-srv-01 10.20.1.41:57277 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1117 bytes_in=3540 | related_audit=B000101
- BF000043 | 2026-01-20 09:10:11~2026-01-20 09:10:15 | W001 | mon-srv-01 10.20.1.41:59054 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1311 bytes_in=7615 | related_audit=B000104
- BF000041 | 2026-01-20 09:10:12~2026-01-20 09:10:16 | W001 | mon-srv-01 10.20.1.41:55063 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1040 bytes_in=8936 | related_audit=B000102
- BF000042 | 2026-01-20 09:10:13~2026-01-20 09:10:18 | W001 | mon-srv-01 10.20.1.41:56276 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1708 bytes_in=3860 | related_audit=B000103
- BF000047 | 2026-01-20 09:10:19~2026-01-20 09:10:39 | W001 | ws-finance-01 10.20.1.11:56702 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=2971 bytes_in=31023 | related_audit=B000109
- BF000048 | 2026-01-20 09:10:28~2026-01-20 09:10:58 | W001 | ws-finance-01 10.20.1.11:57637 -> 192.0.2.10:443 | service=HTTPS pattern=benign_update | bytes_out=2379 bytes_in=58872 | related_audit=B000111
- BF000046 | 2026-01-20 09:10:53~2026-01-20 09:11:01 | W001 | mon-srv-01 10.20.1.41:47835 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=2326 bytes_in=9486 | related_audit=B000108
- BF000044 | 2026-01-20 09:10:53~2026-01-20 09:11:01 | W001 | mon-srv-01 10.20.1.41:42151 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=1820 bytes_in=16853 | related_audit=B000106
- BF000045 | 2026-01-20 09:10:54~2026-01-20 09:11:01 | W001 | mon-srv-01 10.20.1.41:53950 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=1292 bytes_in=5945 | related_audit=B000107
- BF000049 | 2026-01-20 09:11:11~2026-01-20 09:11:59 | W001 | ws-dev-02 10.20.1.12:50198 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=26537 bytes_in=33258 | related_audit=B000117
- BF000053 | 2026-01-20 09:12:06~2026-01-20 09:12:11 | W001 | mon-srv-01 10.20.1.41:57923 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1594 bytes_in=5393 | related_audit=B000124
- BF000051 | 2026-01-20 09:12:10~2026-01-20 09:12:13 | W001 | mon-srv-01 10.20.1.41:49069 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1356 bytes_in=8488 | related_audit=B000122
- BF000054 | 2026-01-20 09:12:14~2026-01-20 09:12:29 | W001 | ws-finance-01 10.20.1.11:58603 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=2681 bytes_in=14373 | related_audit=B000126
- BF000050 | 2026-01-20 09:12:20~2026-01-20 09:12:22 | W001 | mon-srv-01 10.20.1.41:60612 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1662 bytes_in=8364 | related_audit=B000121
- BF000052 | 2026-01-20 09:12:21~2026-01-20 09:12:24 | W001 | mon-srv-01 10.20.1.41:49655 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1670 bytes_in=7052 | related_audit=B000123
- BF000056 | 2026-01-20 09:14:07~2026-01-20 09:14:09 | W001 | mon-srv-01 10.20.1.41:59657 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1732 bytes_in=6722 | related_audit=B000139
- BF000057 | 2026-01-20 09:14:08~2026-01-20 09:14:10 | W001 | mon-srv-01 10.20.1.41:47724 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1012 bytes_in=8238 | related_audit=B000140
- BF000055 | 2026-01-20 09:14:09~2026-01-20 09:14:11 | W001 | mon-srv-01 10.20.1.41:45003 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1355 bytes_in=7161 | related_audit=B000138
- BF000058 | 2026-01-20 09:14:13~2026-01-20 09:14:18 | W001 | mon-srv-01 10.20.1.41:50791 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=862 bytes_in=7550 | related_audit=B000141
- BF000063 | 2026-01-20 09:15:03~2026-01-20 09:15:15 | W001 | ws-finance-01 10.20.1.11:43910 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=3793 bytes_in=37223 | related_audit=B000153
- BF000059 | 2026-01-20 09:15:11~2026-01-20 09:15:20 | W001 | mon-srv-01 10.20.1.41:50727 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=1359 bytes_in=15790 | related_audit=B000148
- BF000062 | 2026-01-20 09:15:20~2026-01-20 09:15:38 | W001 | ws-finance-01 10.20.1.11:45181 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=2598 bytes_in=23479 | related_audit=B000151
- BF000060 | 2026-01-20 09:15:34~2026-01-20 09:15:41 | W001 | mon-srv-01 10.20.1.41:60006 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=1978 bytes_in=14948 | related_audit=B000149
- BF000061 | 2026-01-20 09:15:42~2026-01-20 09:15:50 | W001 | mon-srv-01 10.20.1.41:43255 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=1410 bytes_in=18608 | related_audit=B000150
- BF000067 | 2026-01-20 09:16:02~2026-01-20 09:16:06 | W001 | mon-srv-01 10.20.1.41:46550 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1030 bytes_in=3639 | related_audit=B000161
- BF000069 | 2026-01-20 09:16:04~2026-01-20 09:17:10 | W001 | ws-dev-02 10.20.1.12:49788 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=6592 bytes_in=13779 | related_audit=B000164
- BF000066 | 2026-01-20 09:16:10~2026-01-20 09:16:15 | W001 | mon-srv-01 10.20.1.41:53589 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1344 bytes_in=8757 | related_audit=B000160
- BF000064 | 2026-01-20 09:16:18~2026-01-20 09:16:24 | W001 | mon-srv-01 10.20.1.41:42105 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1356 bytes_in=7737 | related_audit=B000158
- BF000065 | 2026-01-20 09:16:18~2026-01-20 09:16:23 | W001 | mon-srv-01 10.20.1.41:59172 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1234 bytes_in=4489 | related_audit=B000159
- BF000068 | 2026-01-20 09:16:19~2026-01-20 09:16:27 | W001 | ws-finance-01 10.20.1.11:51929 -> 10.20.1.21:445 | service=SMB pattern=file_server_access | bytes_out=1343 bytes_in=346127 | related_audit=B000163
- BF000070 | 2026-01-20 09:16:31~2026-01-20 09:16:56 | W001 | ws-dev-02 10.20.1.12:59127 -> 192.0.2.30:443 | service=HTTPS pattern=dev_repo_access | bytes_out=4379 bytes_in=101564 | related_audit=B000166
- BF000071 | 2026-01-20 09:18:09~2026-01-20 09:18:12 | W001 | mon-srv-01 10.20.1.41:43476 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1659 bytes_in=5764 | related_audit=B000176
- BF000073 | 2026-01-20 09:18:10~2026-01-20 09:18:16 | W001 | mon-srv-01 10.20.1.41:57730 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1658 bytes_in=5593 | related_audit=B000178
- BF000072 | 2026-01-20 09:18:12~2026-01-20 09:18:16 | W001 | mon-srv-01 10.20.1.41:57049 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1067 bytes_in=4949 | related_audit=B000177
