# Target corrupted window: W024
Neighbor context C_t = ['W023', 'W024', 'W025']
Stage-1 inconsistency clues for target: corruption_score=4.556342762863228, unsupported_flow_count=1, unsupported_external_flow_count=1, unsupported_metric_clue_count=0, unsupported_metric_zsum=0.0

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W023

### Observed corrupted audit log snippets
- B002179 | 2026-01-20 12:50:02 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002187 | 2026-01-20 12:50:48 | W023 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B002188 | 2026-01-20 12:50:50 | W023 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B002184 | 2026-01-20 12:50:52 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B002200 | 2026-01-20 12:51:01 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002196 | 2026-01-20 12:51:19 | W023 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B002193 | 2026-01-20 12:51:32 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002194 | 2026-01-20 12:51:37 | W023 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002195 | 2026-01-20 12:51:38 | W023 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B002205 | 2026-01-20 12:52:08 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002204 | 2026-01-20 12:52:08 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002211 | 2026-01-20 12:52:11 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002206 | 2026-01-20 12:52:12 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002202 | 2026-01-20 12:52:16 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002203 | 2026-01-20 12:52:18 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B005415 | 2026-01-20 12:52:33 | W023 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B004776 | 2026-01-20 12:52:35 | W023 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002209 | 2026-01-20 12:52:38 | W023 | host=file-srv-01 user=svc_backup process=smbd | smbd:1201@file-srv-01 --write--> /srv/share/public/office_schedule.xlsx.lock (file) | cmd=write | args=benign lock/update file created by share service
- B004276 | 2026-01-20 12:52:56 | W023 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B003917 | 2026-01-20 12:53:01 | W023 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B002213 | 2026-01-20 12:53:09 | W023 | host=ws-dev-02 user=u_dev process=git | git:2212@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B002214 | 2026-01-20 12:53:12 | W023 | host=ws-dev-02 user=u_dev process=git | git:2212@ws-dev-02 --write--> /home/u_dev/src/portal/requirements.txt (file) | cmd=write | args=normal development file/cache update
- B002212 | 2026-01-20 12:53:20 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B005131 | 2026-01-20 12:53:23 | W023 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B002217 | 2026-01-20 12:53:30 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002215 | 2026-01-20 12:53:51 | W023 | host=ws-dev-02 user=u_dev process=python3 | python3:2250@ws-dev-02 --execute--> /var/lib/docker/tmp/build-context.tar (file) | cmd=read | args=normal local development/test activity
- B004156 | 2026-01-20 12:53:52 | W023 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B002221 | 2026-01-20 12:54:03 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B004384 | 2026-01-20 12:54:08 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002218 | 2026-01-20 12:54:09 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002219 | 2026-01-20 12:54:11 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002220 | 2026-01-20 12:54:16 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002223 | 2026-01-20 12:54:16 | W023 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002224 | 2026-01-20 12:54:17 | W023 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B005543 | 2026-01-20 12:54:44 | W023 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B002222 | 2026-01-20 12:54:47 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002227 | 2026-01-20 12:54:48 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B005303 | 2026-01-20 12:54:52 | W023 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B003639 | 2026-01-20 12:54:53 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B003882 | 2026-01-20 12:55:16 | W023 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B005447 | 2026-01-20 12:55:18 | W023 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002229 | 2026-01-20 12:55:18 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002230 | 2026-01-20 12:55:27 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B002232 | 2026-01-20 12:55:37 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B002233 | 2026-01-20 12:55:38 | W023 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B002237 | 2026-01-20 12:55:40 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002234 | 2026-01-20 12:55:40 | W023 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B004447 | 2026-01-20 12:55:44 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002231 | 2026-01-20 12:55:49 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B002238 | 2026-01-20 12:56:03 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002240 | 2026-01-20 12:56:04 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002241 | 2026-01-20 12:56:11 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002239 | 2026-01-20 12:56:11 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002250 | 2026-01-20 12:56:18 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002242 | 2026-01-20 12:56:28 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002244 | 2026-01-20 12:56:29 | W023 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B005341 | 2026-01-20 12:56:32 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B005166 | 2026-01-20 12:56:40 | W023 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002248 | 2026-01-20 12:56:56 | W023 | host=file-srv-01 user=svc_backup process=smbd | smbd:1201@file-srv-01 --write--> /srv/share/dev/release_notes.txt.lock (file) | cmd=write | args=benign lock/update file created by share service
- B003963 | 2026-01-20 12:57:03 | W023 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B002256 | 2026-01-20 12:57:05 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002251 | 2026-01-20 12:57:08 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B003548 | 2026-01-20 12:57:29 | W023 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B002252 | 2026-01-20 12:57:30 | W023 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002253 | 2026-01-20 12:57:31 | W023 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B004901 | 2026-01-20 12:57:33 | W023 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B003691 | 2026-01-20 12:58:01 | W023 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B002265 | 2026-01-20 12:58:03 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002261 | 2026-01-20 12:58:04 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B004217 | 2026-01-20 12:58:09 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002258 | 2026-01-20 12:58:14 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002260 | 2026-01-20 12:58:16 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B004580 | 2026-01-20 12:58:17 | W023 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002259 | 2026-01-20 12:58:18 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002262 | 2026-01-20 12:58:33 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B003898 | 2026-01-20 12:58:40 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B004786 | 2026-01-20 12:59:21 | W023 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002266 | 2026-01-20 12:59:22 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004626 | 2026-01-20 12:59:27 | W023 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B005480 | 2026-01-20 12:59:28 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- ... 57 additional audit rows omitted for W023

### Network flow side-view evidence
- BF000849 | 2026-01-20 12:50:07~2026-01-20 12:50:13 | W023 | mon-srv-01 10.20.1.41:51130 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1411 bytes_in=7233 | related_audit=B002182
- BF000848 | 2026-01-20 12:50:12~2026-01-20 12:50:18 | W023 | mon-srv-01 10.20.1.41:57493 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1397 bytes_in=7707 | related_audit=B002181
- BF000846 | 2026-01-20 12:50:15~2026-01-20 12:50:17 | W023 | mon-srv-01 10.20.1.41:50402 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1365 bytes_in=3792 | related_audit=B002179
- BF000847 | 2026-01-20 12:50:16~2026-01-20 12:50:18 | W023 | mon-srv-01 10.20.1.41:55735 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1207 bytes_in=7354 | related_audit=B002180
- BF000850 | 2026-01-20 12:50:18~2026-01-20 12:50:25 | W023 | mon-srv-01 10.20.1.41:55004 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=1761 bytes_in=12838 | related_audit=B002184
- BF000851 | 2026-01-20 12:50:21~2026-01-20 12:50:28 | W023 | mon-srv-01 10.20.1.41:55333 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=2148 bytes_in=7690 | related_audit=B002185
- BF000853 | 2026-01-20 12:50:48~2026-01-20 12:50:58 | W023 | ws-finance-01 10.20.1.11:57559 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=3755 bytes_in=42902 | related_audit=B002187
- BF000852 | 2026-01-20 12:50:55~2026-01-20 12:50:58 | W023 | mon-srv-01 10.20.1.41:43159 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=1682 bytes_in=9732 | related_audit=B002186
- BF000855 | 2026-01-20 12:51:19~2026-01-20 12:52:01 | W023 | ws-dev-02 10.20.1.12:53552 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=9267 bytes_in=28088 | related_audit=B002196
- BF000854 | 2026-01-20 12:51:37~2026-01-20 12:51:55 | W023 | ws-finance-01 10.20.1.11:50018 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=2305 bytes_in=34548 | related_audit=B002194
- BF000857 | 2026-01-20 12:52:07~2026-01-20 12:52:09 | W023 | mon-srv-01 10.20.1.41:44159 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=809 bytes_in=4748 | related_audit=B002203
- BF000858 | 2026-01-20 12:52:15~2026-01-20 12:52:21 | W023 | mon-srv-01 10.20.1.41:47854 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1310 bytes_in=5528 | related_audit=B002204
- BF000859 | 2026-01-20 12:52:16~2026-01-20 12:52:20 | W023 | mon-srv-01 10.20.1.41:52456 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1693 bytes_in=3378 | related_audit=B002205
- BF000856 | 2026-01-20 12:52:22~2026-01-20 12:52:26 | W023 | mon-srv-01 10.20.1.41:50597 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1661 bytes_in=4279 | related_audit=B002202
- BF000860 | 2026-01-20 12:53:09~2026-01-20 12:53:25 | W023 | ws-dev-02 10.20.1.12:47604 -> 192.0.2.30:443 | service=HTTPS pattern=dev_repo_access | bytes_out=9926 bytes_in=195389 | related_audit=B002213
- BF000861 | 2026-01-20 12:54:04~2026-01-20 12:54:10 | W023 | mon-srv-01 10.20.1.41:57821 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1591 bytes_in=7871 | related_audit=B002218
- BF000864 | 2026-01-20 12:54:06~2026-01-20 12:54:09 | W023 | mon-srv-01 10.20.1.41:45117 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1786 bytes_in=6677 | related_audit=B002221
- BF000862 | 2026-01-20 12:54:08~2026-01-20 12:54:11 | W023 | mon-srv-01 10.20.1.41:51864 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=999 bytes_in=4678 | related_audit=B002219
- BF000863 | 2026-01-20 12:54:09~2026-01-20 12:54:12 | W023 | mon-srv-01 10.20.1.41:60338 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1202 bytes_in=5896 | related_audit=B002220
- BF000865 | 2026-01-20 12:54:16~2026-01-20 12:54:22 | W023 | ws-finance-01 10.20.1.11:53182 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=3288 bytes_in=55900 | related_audit=B002223
- BF000866 | 2026-01-20 12:55:11~2026-01-20 12:55:17 | W023 | mon-srv-01 10.20.1.41:50949 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=1852 bytes_in=8284 | related_audit=B002230
- F0013 | 2026-01-20 12:55:13~2026-01-20 12:55:24 | W023 | ws-finance-01 10.20.1.11:49750 -> 198.51.100.77:443 | service=HTTPS pattern=beacon | bytes_out=1520 bytes_in=900 | related_audit=E0046
- BF000867 | 2026-01-20 12:55:20~2026-01-20 12:55:24 | W023 | mon-srv-01 10.20.1.41:53836 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=2214 bytes_in=8134 | related_audit=B002231
- BF000869 | 2026-01-20 12:55:38~2026-01-20 12:55:47 | W023 | ws-finance-01 10.20.1.11:56344 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=1971 bytes_in=40455 | related_audit=B002233
- BF000868 | 2026-01-20 12:55:44~2026-01-20 12:55:53 | W023 | mon-srv-01 10.20.1.41:42740 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=2376 bytes_in=13565 | related_audit=B002232
- BF000870 | 2026-01-20 12:56:12~2026-01-20 12:56:15 | W023 | mon-srv-01 10.20.1.41:50033 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1628 bytes_in=4978 | related_audit=B002238
- BF000872 | 2026-01-20 12:56:19~2026-01-20 12:56:22 | W023 | mon-srv-01 10.20.1.41:54400 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1343 bytes_in=5175 | related_audit=B002240
- BF000871 | 2026-01-20 12:56:20~2026-01-20 12:56:24 | W023 | mon-srv-01 10.20.1.41:51759 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=940 bytes_in=3142 | related_audit=B002239
- BF000873 | 2026-01-20 12:56:21~2026-01-20 12:56:26 | W023 | mon-srv-01 10.20.1.41:58715 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1178 bytes_in=6180 | related_audit=B002241
- BF000874 | 2026-01-20 12:56:29~2026-01-20 12:57:16 | W023 | ws-dev-02 10.20.1.12:50026 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=18033 bytes_in=14575 | related_audit=B002244
- BF000875 | 2026-01-20 12:57:30~2026-01-20 12:57:43 | W023 | ws-finance-01 10.20.1.11:58907 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=1589 bytes_in=25431 | related_audit=B002252
- BF000878 | 2026-01-20 12:58:06~2026-01-20 12:58:08 | W023 | mon-srv-01 10.20.1.41:54102 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1012 bytes_in=7753 | related_audit=B002260
- BF000877 | 2026-01-20 12:58:11~2026-01-20 12:58:13 | W023 | mon-srv-01 10.20.1.41:46352 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=920 bytes_in=6788 | related_audit=B002259
- BF000876 | 2026-01-20 12:58:11~2026-01-20 12:58:15 | W023 | mon-srv-01 10.20.1.41:52641 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1396 bytes_in=3216 | related_audit=B002258
