# Target corrupted window: W006
Neighbor context C_t = ['W005', 'W006', 'W007']
Stage-1 inconsistency clues for target: corruption_score=15.180328959477244, unsupported_flow_count=3, unsupported_external_flow_count=1, unsupported_metric_clue_count=1, unsupported_metric_zsum=4.8

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W005

### Observed corrupted audit log snippets
- B004044 | 2026-01-20 09:50:04 | W005 | host=ws-dev-02 user=u_dev process=docker | docker:2244@ws-dev-02 --read--> /var/lib/docker/containers/config.v2.json (file) | cmd=read | args=normal docker metadata read
- B003695 | 2026-01-20 09:50:34 | W005 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B000489 | 2026-01-20 09:50:34 | W005 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B000490 | 2026-01-20 09:50:36 | W005 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B004924 | 2026-01-20 09:50:39 | W005 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B000485 | 2026-01-20 09:50:43 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B005016 | 2026-01-20 09:50:43 | W005 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B000499 | 2026-01-20 09:51:01 | W005 | host=ws-dev-02 user=u_dev process=git | git:2212@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B000501 | 2026-01-20 09:51:02 | W005 | host=ws-dev-02 user=u_dev process=python3 | python3:2232@ws-dev-02 --execute--> /var/lib/docker/tmp/build-context.tar (file) | cmd=read | args=normal local development/test activity
- B000500 | 2026-01-20 09:51:04 | W005 | host=ws-dev-02 user=u_dev process=git | git:2212@ws-dev-02 --write--> /home/u_dev/src/portal/requirements.txt (file) | cmd=write | args=normal development file/cache update
- B000503 | 2026-01-20 09:51:24 | W005 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000494 | 2026-01-20 09:51:29 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004578 | 2026-01-20 09:51:29 | W005 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B005155 | 2026-01-20 09:51:29 | W005 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B000497 | 2026-01-20 09:51:39 | W005 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B000495 | 2026-01-20 09:51:47 | W005 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B000496 | 2026-01-20 09:51:48 | W005 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B004107 | 2026-01-20 09:51:49 | W005 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B000514 | 2026-01-20 09:52:02 | W005 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000505 | 2026-01-20 09:52:03 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- E0014 | 2026-01-20 09:52:04 | W005 | host=ws-finance-01 user=u_fin process=update-check | update-check:2440@ws-finance-01 --read--> /home/u_fin/.config/portal/session.dat (file) | cmd=read | args=inspect cached portal session
- B000508 | 2026-01-20 09:52:10 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000506 | 2026-01-20 09:52:11 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000507 | 2026-01-20 09:52:18 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B004471 | 2026-01-20 09:52:26 | W005 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B000509 | 2026-01-20 09:52:33 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000511 | 2026-01-20 09:52:36 | W005 | host=ws-dev-02 user=u_dev process=bash | bash:2232@ws-dev-02 --execute--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=read | args=normal local development/test activity
- B004019 | 2026-01-20 09:52:41 | W005 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B005398 | 2026-01-20 09:52:41 | W005 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B004241 | 2026-01-20 09:52:51 | W005 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B005198 | 2026-01-20 09:53:00 | W005 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B000515 | 2026-01-20 09:53:08 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000517 | 2026-01-20 09:53:51 | W005 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000519 | 2026-01-20 09:54:08 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000528 | 2026-01-20 09:54:09 | W005 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000518 | 2026-01-20 09:54:13 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000520 | 2026-01-20 09:54:17 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000521 | 2026-01-20 09:54:18 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000525 | 2026-01-20 09:54:19 | W005 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /var/lib/docker/tmp/build-context.tar (file) | cmd=read | args=normal local development/test activity
- B000522 | 2026-01-20 09:54:26 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004726 | 2026-01-20 09:54:43 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B000523 | 2026-01-20 09:54:52 | W005 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B000524 | 2026-01-20 09:54:53 | W005 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B000537 | 2026-01-20 09:55:01 | W005 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000533 | 2026-01-20 09:55:05 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B000534 | 2026-01-20 09:55:06 | W005 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B000535 | 2026-01-20 09:55:08 | W005 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B000530 | 2026-01-20 09:55:14 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004784 | 2026-01-20 09:55:29 | W005 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B000532 | 2026-01-20 09:55:37 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B000531 | 2026-01-20 09:55:38 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B000544 | 2026-01-20 09:56:01 | W005 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B000540 | 2026-01-20 09:56:02 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000548 | 2026-01-20 09:56:07 | W005 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000539 | 2026-01-20 09:56:16 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000538 | 2026-01-20 09:56:17 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000541 | 2026-01-20 09:56:17 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000542 | 2026-01-20 09:56:27 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B005022 | 2026-01-20 09:57:16 | W005 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B000554 | 2026-01-20 09:57:30 | W005 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000549 | 2026-01-20 09:57:31 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000550 | 2026-01-20 09:57:37 | W005 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B000551 | 2026-01-20 09:57:38 | W005 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B005135 | 2026-01-20 09:57:38 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B003750 | 2026-01-20 09:57:45 | W005 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000557 | 2026-01-20 09:58:04 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000559 | 2026-01-20 09:58:07 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000558 | 2026-01-20 09:58:10 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000560 | 2026-01-20 09:58:13 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000556 | 2026-01-20 09:58:17 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000563 | 2026-01-20 09:58:26 | W005 | host=ws-dev-02 user=u_dev process=bash | bash:2232@ws-dev-02 --execute--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=read | args=normal local development/test activity
- B000561 | 2026-01-20 09:58:41 | W005 | host=ws-dev-02 user=u_dev process=git | git:2212@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B000562 | 2026-01-20 09:58:44 | W005 | host=ws-dev-02 user=u_dev process=git | git:2212@ws-dev-02 --write--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=write | args=normal development file/cache update
- B000566 | 2026-01-20 09:58:44 | W005 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000569 | 2026-01-20 09:59:15 | W005 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B005380 | 2026-01-20 09:59:16 | W005 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B000567 | 2026-01-20 09:59:26 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B003595 | 2026-01-20 09:59:49 | W005 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- ... 50 additional audit rows omitted for W005

### Network flow side-view evidence
- BF000187 | 2026-01-20 09:50:08~2026-01-20 09:50:13 | W005 | mon-srv-01 10.20.1.41:53345 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1456 bytes_in=5556 | related_audit=B000482
- BF000186 | 2026-01-20 09:50:11~2026-01-20 09:50:16 | W005 | mon-srv-01 10.20.1.41:51995 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1606 bytes_in=5555 | related_audit=B000481
- BF000191 | 2026-01-20 09:50:11~2026-01-20 09:50:18 | W005 | mon-srv-01 10.20.1.41:48220 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=1530 bytes_in=5010 | related_audit=B000487
- BF000188 | 2026-01-20 09:50:11~2026-01-20 09:50:14 | W005 | mon-srv-01 10.20.1.41:57312 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1105 bytes_in=3961 | related_audit=B000483
- BF000189 | 2026-01-20 09:50:12~2026-01-20 09:50:14 | W005 | mon-srv-01 10.20.1.41:49225 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=873 bytes_in=3119 | related_audit=B000484
- BF000190 | 2026-01-20 09:50:24~2026-01-20 09:50:30 | W005 | mon-srv-01 10.20.1.41:59652 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=1722 bytes_in=8086 | related_audit=B000486
- BF000193 | 2026-01-20 09:50:34~2026-01-20 09:50:44 | W005 | ws-finance-01 10.20.1.11:54733 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=4077 bytes_in=5370 | related_audit=B000489
- BF000192 | 2026-01-20 09:50:37~2026-01-20 09:50:45 | W005 | mon-srv-01 10.20.1.41:43367 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=1254 bytes_in=8959 | related_audit=B000488
- BF000196 | 2026-01-20 09:51:01~2026-01-20 09:51:12 | W005 | ws-dev-02 10.20.1.12:45877 -> 192.0.2.30:443 | service=HTTPS pattern=dev_repo_access | bytes_out=2056 bytes_in=133445 | related_audit=B000499
- BF000195 | 2026-01-20 09:51:39~2026-01-20 09:51:49 | W005 | ws-dev-02 10.20.1.12:43492 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=18091 bytes_in=14982 | related_audit=B000497
- BF000194 | 2026-01-20 09:51:47~2026-01-20 09:51:59 | W005 | ws-finance-01 10.20.1.11:57799 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=3452 bytes_in=51300 | related_audit=B000495
- BF000200 | 2026-01-20 09:52:11~2026-01-20 09:52:15 | W005 | mon-srv-01 10.20.1.41:55325 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1301 bytes_in=7140 | related_audit=B000508
- BF000197 | 2026-01-20 09:52:15~2026-01-20 09:52:20 | W005 | mon-srv-01 10.20.1.41:50119 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=855 bytes_in=6555 | related_audit=B000505
- BF000199 | 2026-01-20 09:52:16~2026-01-20 09:52:18 | W005 | mon-srv-01 10.20.1.41:43792 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=809 bytes_in=3298 | related_audit=B000507
- BF000198 | 2026-01-20 09:52:22~2026-01-20 09:52:24 | W005 | mon-srv-01 10.20.1.41:60774 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1781 bytes_in=6255 | related_audit=B000506
- BF000204 | 2026-01-20 09:54:03~2026-01-20 09:54:07 | W005 | mon-srv-01 10.20.1.41:49844 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1560 bytes_in=8366 | related_audit=B000521
- BF000203 | 2026-01-20 09:54:12~2026-01-20 09:54:16 | W005 | mon-srv-01 10.20.1.41:46138 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=838 bytes_in=3981 | related_audit=B000520
- BF000202 | 2026-01-20 09:54:19~2026-01-20 09:54:21 | W005 | mon-srv-01 10.20.1.41:47665 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1209 bytes_in=3705 | related_audit=B000519
- BF000201 | 2026-01-20 09:54:22~2026-01-20 09:54:24 | W005 | mon-srv-01 10.20.1.41:59661 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1240 bytes_in=7328 | related_audit=B000518
- BF000205 | 2026-01-20 09:54:52~2026-01-20 09:55:03 | W005 | ws-finance-01 10.20.1.11:51505 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=2120 bytes_in=62053 | related_audit=B000523
- BF000209 | 2026-01-20 09:55:06~2026-01-20 09:55:23 | W005 | ws-finance-01 10.20.1.11:56835 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=3668 bytes_in=15098 | related_audit=B000534
- BF000208 | 2026-01-20 09:55:11~2026-01-20 09:55:15 | W005 | mon-srv-01 10.20.1.41:53617 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=1646 bytes_in=10264 | related_audit=B000533
- BF000207 | 2026-01-20 09:55:12~2026-01-20 09:55:18 | W005 | mon-srv-01 10.20.1.41:43435 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=1845 bytes_in=11587 | related_audit=B000532
- BF000206 | 2026-01-20 09:55:15~2026-01-20 09:55:19 | W005 | mon-srv-01 10.20.1.41:53931 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=2059 bytes_in=7444 | related_audit=B000531
- BF000214 | 2026-01-20 09:56:01~2026-01-20 09:57:20 | W005 | ws-dev-02 10.20.1.12:60134 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=31111 bytes_in=50271 | related_audit=B000544
- BF000212 | 2026-01-20 09:56:02~2026-01-20 09:56:05 | W005 | mon-srv-01 10.20.1.41:49496 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1367 bytes_in=8068 | related_audit=B000540
- BF000210 | 2026-01-20 09:56:03~2026-01-20 09:56:07 | W005 | mon-srv-01 10.20.1.41:55871 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1294 bytes_in=8375 | related_audit=B000538
- BF000211 | 2026-01-20 09:56:04~2026-01-20 09:56:06 | W005 | mon-srv-01 10.20.1.41:45490 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=846 bytes_in=5750 | related_audit=B000539
- BF000213 | 2026-01-20 09:56:16~2026-01-20 09:56:19 | W005 | mon-srv-01 10.20.1.41:46149 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=934 bytes_in=7020 | related_audit=B000541
- BF000215 | 2026-01-20 09:57:37~2026-01-20 09:57:43 | W005 | ws-finance-01 10.20.1.11:57334 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=1812 bytes_in=16364 | related_audit=B000550
- BF000219 | 2026-01-20 09:58:06~2026-01-20 09:58:12 | W005 | mon-srv-01 10.20.1.41:51953 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1762 bytes_in=8041 | related_audit=B000559
- BF000218 | 2026-01-20 09:58:13~2026-01-20 09:58:19 | W005 | mon-srv-01 10.20.1.41:51520 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1149 bytes_in=7467 | related_audit=B000558
- BF000216 | 2026-01-20 09:58:15~2026-01-20 09:58:17 | W005 | mon-srv-01 10.20.1.41:59438 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1546 bytes_in=8501 | related_audit=B000556
- BF000217 | 2026-01-20 09:58:22~2026-01-20 09:58:27 | W005 | mon-srv-01 10.20.1.41:55472 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1308 bytes_in=6150 | related_audit=B000557
