# Target corrupted window: W021
Neighbor context C_t = ['W020', 'W021', 'W022']
Stage-1 inconsistency clues for target: corruption_score=18.870801988842032, unsupported_flow_count=5, unsupported_external_flow_count=3, unsupported_metric_clue_count=1, unsupported_metric_zsum=4.5

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W020

### Observed corrupted audit log snippets
- B001896 | 2026-01-20 12:20:05 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B001904 | 2026-01-20 12:20:22 | W020 | host=ws-finance-01 user=u_fin process=libreoffice | libreoffice:2112@ws-finance-01 --write--> /srv/share/finance/monthly_summary_autosave.xlsx (file) | cmd=write | args=autosave office document
- B005580 | 2026-01-20 12:20:31 | W020 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B001907 | 2026-01-20 12:20:35 | W020 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /home/u_dev/src/portal/requirements.txt (file) | cmd=read | args=normal local development/test activity
- B001900 | 2026-01-20 12:20:37 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B004228 | 2026-01-20 12:20:40 | W020 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B004605 | 2026-01-20 12:20:43 | W020 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B005126 | 2026-01-20 12:20:45 | W020 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B005335 | 2026-01-20 12:20:54 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B005556 | 2026-01-20 12:21:04 | W020 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B001917 | 2026-01-20 12:21:21 | W020 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B001914 | 2026-01-20 12:21:26 | W020 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B001912 | 2026-01-20 12:21:34 | W020 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B001911 | 2026-01-20 12:21:35 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B001913 | 2026-01-20 12:21:35 | W020 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B005362 | 2026-01-20 12:21:36 | W020 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B001922 | 2026-01-20 12:22:03 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B001921 | 2026-01-20 12:22:03 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B001919 | 2026-01-20 12:22:05 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B001927 | 2026-01-20 12:22:05 | W020 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B001920 | 2026-01-20 12:22:15 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B001925 | 2026-01-20 12:22:20 | W020 | host=file-srv-01 user=svc_backup process=smbd | smbd:1201@file-srv-01 --write--> /srv/share/finance/budget_q1.xlsx.lock (file) | cmd=write | args=benign lock/update file created by share service
- B004586 | 2026-01-20 12:22:38 | W020 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B001923 | 2026-01-20 12:22:44 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B003939 | 2026-01-20 12:22:55 | W020 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B005294 | 2026-01-20 12:23:13 | W020 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B001928 | 2026-01-20 12:23:15 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004104 | 2026-01-20 12:23:17 | W020 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B003818 | 2026-01-20 12:23:29 | W020 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B001930 | 2026-01-20 12:23:41 | W020 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B001936 | 2026-01-20 12:24:01 | W020 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B001937 | 2026-01-20 12:24:02 | W020 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B001931 | 2026-01-20 12:24:05 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B001933 | 2026-01-20 12:24:06 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B001934 | 2026-01-20 12:24:08 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B001932 | 2026-01-20 12:24:09 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B004952 | 2026-01-20 12:24:11 | W020 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B001941 | 2026-01-20 12:24:11 | W020 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B001944 | 2026-01-20 12:24:13 | W020 | host=portal-web-01 user=svc_web process=logrotate | logrotate:1335@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=create new access log
- B004335 | 2026-01-20 12:24:19 | W020 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B001935 | 2026-01-20 12:24:29 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B001955 | 2026-01-20 12:25:04 | W020 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B001948 | 2026-01-20 12:25:06 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B001947 | 2026-01-20 12:25:12 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B004542 | 2026-01-20 12:25:16 | W020 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B003516 | 2026-01-20 12:25:24 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B001949 | 2026-01-20 12:25:27 | W020 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B001950 | 2026-01-20 12:25:29 | W020 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B001946 | 2026-01-20 12:25:30 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B001953 | 2026-01-20 12:25:39 | W020 | host=ws-dev-02 user=u_dev process=bash | bash:2232@ws-dev-02 --execute--> /home/u_dev/src/portal/requirements.txt (file) | cmd=read | args=normal local development/test activity
- B001945 | 2026-01-20 12:25:44 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B001951 | 2026-01-20 12:25:45 | W020 | host=ws-dev-02 user=u_dev process=git | git:2212@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B004956 | 2026-01-20 12:25:48 | W020 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B001952 | 2026-01-20 12:25:48 | W020 | host=ws-dev-02 user=u_dev process=git | git:2212@ws-dev-02 --write--> /home/u_dev/src/portal/tests/test_api.py (file) | cmd=write | args=normal development file/cache update
- B001966 | 2026-01-20 12:26:05 | W020 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B001958 | 2026-01-20 12:26:05 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B001964 | 2026-01-20 12:26:06 | W020 | host=file-srv-01 user=svc_backup process=smbd | smbd:1201@file-srv-01 --write--> /srv/share/finance/vendor_invoice.pdf.lock (file) | cmd=write | args=benign lock/update file created by share service
- B004657 | 2026-01-20 12:26:11 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B001959 | 2026-01-20 12:26:12 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B001957 | 2026-01-20 12:26:12 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B001956 | 2026-01-20 12:26:12 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B001961 | 2026-01-20 12:26:24 | W020 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B001960 | 2026-01-20 12:26:32 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B001972 | 2026-01-20 12:27:07 | W020 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B003566 | 2026-01-20 12:27:13 | W020 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B001967 | 2026-01-20 12:27:20 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B001968 | 2026-01-20 12:27:20 | W020 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B001969 | 2026-01-20 12:27:21 | W020 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B005508 | 2026-01-20 12:27:30 | W020 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B003560 | 2026-01-20 12:27:34 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B004832 | 2026-01-20 12:27:44 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B003518 | 2026-01-20 12:27:45 | W020 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B001976 | 2026-01-20 12:28:02 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B001980 | 2026-01-20 12:28:05 | W020 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /var/lib/docker/tmp/build-context.tar (file) | cmd=read | args=normal local development/test activity
- B003849 | 2026-01-20 12:28:07 | W020 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B001974 | 2026-01-20 12:28:09 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B001975 | 2026-01-20 12:28:15 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B001977 | 2026-01-20 12:28:18 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B001983 | 2026-01-20 12:28:20 | W020 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B001978 | 2026-01-20 12:28:37 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- ... 62 additional audit rows omitted for W020

### Network flow side-view evidence
- BF000736 | 2026-01-20 12:20:03~2026-01-20 12:20:07 | W020 | mon-srv-01 10.20.1.41:42518 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1393 bytes_in=8082 | related_audit=B001896
- BF000738 | 2026-01-20 12:20:11~2026-01-20 12:20:15 | W020 | mon-srv-01 10.20.1.41:42344 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=838 bytes_in=7314 | related_audit=B001898
- BF000735 | 2026-01-20 12:20:13~2026-01-20 12:20:16 | W020 | mon-srv-01 10.20.1.41:53282 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=829 bytes_in=7838 | related_audit=B001895
- BF000739 | 2026-01-20 12:20:15~2026-01-20 12:20:20 | W020 | mon-srv-01 10.20.1.41:58262 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=1603 bytes_in=18126 | related_audit=B001900
- BF000743 | 2026-01-20 12:20:16~2026-01-20 12:20:36 | W020 | ws-finance-01 10.20.1.11:56809 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=3766 bytes_in=41075 | related_audit=B001905
- BF000742 | 2026-01-20 12:20:19~2026-01-20 12:20:25 | W020 | ws-finance-01 10.20.1.11:52824 -> 10.20.1.21:445 | service=SMB pattern=file_server_access | bytes_out=2863 bytes_in=63808 | related_audit=B001903
- BF000737 | 2026-01-20 12:20:22~2026-01-20 12:20:25 | W020 | mon-srv-01 10.20.1.41:45611 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1020 bytes_in=3036 | related_audit=B001897
- BF000740 | 2026-01-20 12:20:37~2026-01-20 12:20:45 | W020 | mon-srv-01 10.20.1.41:54809 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=1901 bytes_in=16349 | related_audit=B001901
- BF000741 | 2026-01-20 12:20:47~2026-01-20 12:20:50 | W020 | mon-srv-01 10.20.1.41:48133 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=1642 bytes_in=11162 | related_audit=B001902
- BF000745 | 2026-01-20 12:21:26~2026-01-20 12:22:07 | W020 | ws-dev-02 10.20.1.12:60044 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=29398 bytes_in=48237 | related_audit=B001914
- BF000744 | 2026-01-20 12:21:34~2026-01-20 12:21:43 | W020 | ws-finance-01 10.20.1.11:50884 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=1549 bytes_in=12767 | related_audit=B001912
- BF000749 | 2026-01-20 12:22:05~2026-01-20 12:22:10 | W020 | mon-srv-01 10.20.1.41:53326 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1377 bytes_in=8078 | related_audit=B001922
- BF000747 | 2026-01-20 12:22:06~2026-01-20 12:22:11 | W020 | mon-srv-01 10.20.1.41:45377 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1083 bytes_in=3676 | related_audit=B001920
- BF000748 | 2026-01-20 12:22:09~2026-01-20 12:22:15 | W020 | mon-srv-01 10.20.1.41:54066 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1716 bytes_in=5956 | related_audit=B001921
- BF000746 | 2026-01-20 12:22:12~2026-01-20 12:22:16 | W020 | mon-srv-01 10.20.1.41:42827 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1277 bytes_in=6232 | related_audit=B001919
- BF000754 | 2026-01-20 12:24:01~2026-01-20 12:24:08 | W020 | ws-finance-01 10.20.1.11:56918 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=2952 bytes_in=52460 | related_audit=B001936
- BF000752 | 2026-01-20 12:24:03~2026-01-20 12:24:08 | W020 | mon-srv-01 10.20.1.41:46683 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=972 bytes_in=5650 | related_audit=B001933
- BF000751 | 2026-01-20 12:24:07~2026-01-20 12:24:12 | W020 | mon-srv-01 10.20.1.41:53737 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1512 bytes_in=4354 | related_audit=B001932
- BF000750 | 2026-01-20 12:24:18~2026-01-20 12:24:24 | W020 | mon-srv-01 10.20.1.41:48055 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=825 bytes_in=8750 | related_audit=B001931
- BF000753 | 2026-01-20 12:24:19~2026-01-20 12:24:21 | W020 | mon-srv-01 10.20.1.41:60072 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1527 bytes_in=5084 | related_audit=B001934
- BF000757 | 2026-01-20 12:25:05~2026-01-20 12:25:08 | W020 | mon-srv-01 10.20.1.41:44248 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=1787 bytes_in=10366 | related_audit=B001948
- BF000755 | 2026-01-20 12:25:20~2026-01-20 12:25:24 | W020 | mon-srv-01 10.20.1.41:58091 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=1223 bytes_in=5327 | related_audit=B001946
- BF000756 | 2026-01-20 12:25:25~2026-01-20 12:25:32 | W020 | mon-srv-01 10.20.1.41:45265 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=2377 bytes_in=6333 | related_audit=B001947
- BF000758 | 2026-01-20 12:25:27~2026-01-20 12:25:43 | W020 | ws-finance-01 10.20.1.11:42293 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=2434 bytes_in=40948 | related_audit=B001949
- BF000759 | 2026-01-20 12:25:45~2026-01-20 12:26:17 | W020 | ws-dev-02 10.20.1.12:53318 -> 192.0.2.30:443 | service=HTTPS pattern=dev_repo_access | bytes_out=11120 bytes_in=163086 | related_audit=B001951
- BF000762 | 2026-01-20 12:26:03~2026-01-20 12:26:06 | W020 | mon-srv-01 10.20.1.41:49626 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1281 bytes_in=4336 | related_audit=B001958
- BF000760 | 2026-01-20 12:26:04~2026-01-20 12:26:10 | W020 | mon-srv-01 10.20.1.41:57559 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1237 bytes_in=6540 | related_audit=B001956
- BF000761 | 2026-01-20 12:26:05~2026-01-20 12:26:10 | W020 | mon-srv-01 10.20.1.41:44294 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=979 bytes_in=4740 | related_audit=B001957
- BF000763 | 2026-01-20 12:26:16~2026-01-20 12:26:22 | W020 | mon-srv-01 10.20.1.41:55726 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=925 bytes_in=3809 | related_audit=B001959
- BF000764 | 2026-01-20 12:26:24~2026-01-20 12:26:42 | W020 | ws-dev-02 10.20.1.12:57450 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=5453 bytes_in=38619 | related_audit=B001961
- BF000765 | 2026-01-20 12:27:20~2026-01-20 12:27:38 | W020 | ws-finance-01 10.20.1.11:44276 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=2241 bytes_in=17902 | related_audit=B001968
- BF000769 | 2026-01-20 12:28:05~2026-01-20 12:28:11 | W020 | mon-srv-01 10.20.1.41:50989 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1339 bytes_in=4655 | related_audit=B001977
- BF000767 | 2026-01-20 12:28:09~2026-01-20 12:28:13 | W020 | mon-srv-01 10.20.1.41:44035 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1510 bytes_in=3721 | related_audit=B001975
