# Target corrupted window: W023
Neighbor context C_t = ['W022', 'W023', 'W024']
Stage-1 inconsistency clues for target: corruption_score=10.79731198564602, unsupported_flow_count=1, unsupported_external_flow_count=1, unsupported_metric_clue_count=1, unsupported_metric_zsum=4.2

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W022

### Observed corrupted audit log snippets
- B005086 | 2026-01-20 12:40:00 | W022 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B004794 | 2026-01-20 12:44:12 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002123 | 2026-01-20 12:44:15 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002124 | 2026-01-20 12:44:15 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002122 | 2026-01-20 12:44:18 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002130 | 2026-01-20 12:44:25 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B003797 | 2026-01-20 12:44:26 | W022 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- E0050 | 2026-01-20 12:44:28 | W022 | host=portal-web-01 user=svc_web process=portal-sync | portal-sync:4022@portal-web-01 --read--> /var/www/portal/.cache/portal-sync (file) | cmd=read | args=read portal helper before beacon
- B002132 | 2026-01-20 12:44:29 | W022 | host=portal-web-01 user=svc_web process=logrotate | logrotate:1335@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=create new access log
- B002127 | 2026-01-20 12:44:36 | W022 | host=ws-finance-01 user=u_fin process=libreoffice | libreoffice:2112@ws-finance-01 --write--> /home/u_fin/docs/budget_q2_autosave.xlsx (file) | cmd=write | args=autosave office document
- B002125 | 2026-01-20 12:44:45 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004305 | 2026-01-20 12:44:58 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B005047 | 2026-01-20 12:45:12 | W022 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B002139 | 2026-01-20 12:45:12 | W022 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B002140 | 2026-01-20 12:45:14 | W022 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B005140 | 2026-01-20 12:45:17 | W022 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B004867 | 2026-01-20 12:45:18 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002137 | 2026-01-20 12:45:19 | W022 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002138 | 2026-01-20 12:45:20 | W022 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B002143 | 2026-01-20 12:45:22 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002141 | 2026-01-20 12:45:38 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2232@ws-dev-02 --execute--> /var/lib/docker/tmp/build-context.tar (file) | cmd=read | args=normal local development/test activity
- B002135 | 2026-01-20 12:45:41 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B002136 | 2026-01-20 12:45:42 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B002134 | 2026-01-20 12:45:46 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B002133 | 2026-01-20 12:45:49 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004027 | 2026-01-20 12:45:55 | W022 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B002150 | 2026-01-20 12:46:01 | W022 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B002146 | 2026-01-20 12:46:02 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002147 | 2026-01-20 12:46:12 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002145 | 2026-01-20 12:46:12 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002148 | 2026-01-20 12:46:17 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B005219 | 2026-01-20 12:46:34 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002149 | 2026-01-20 12:46:41 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002152 | 2026-01-20 12:46:43 | W022 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B002153 | 2026-01-20 12:46:46 | W022 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --write--> /var/lib/docker/tmp/build-context.tar (file) | cmd=write | args=normal development file/cache update
- B002156 | 2026-01-20 12:46:47 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B005157 | 2026-01-20 12:46:57 | W022 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B002157 | 2026-01-20 12:47:04 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002160 | 2026-01-20 12:47:08 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B005253 | 2026-01-20 12:47:39 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B004178 | 2026-01-20 12:47:45 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002166 | 2026-01-20 12:48:03 | W022 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002167 | 2026-01-20 12:48:04 | W022 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B002163 | 2026-01-20 12:48:11 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002161 | 2026-01-20 12:48:11 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002164 | 2026-01-20 12:48:16 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002162 | 2026-01-20 12:48:17 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002169 | 2026-01-20 12:48:20 | W022 | host=ws-finance-01 user=u_fin process=libreoffice | libreoffice:2112@ws-finance-01 --write--> /srv/share/finance/vendor_invoice.pdf (file) | cmd=write | args=autosave office document
- B002171 | 2026-01-20 12:48:22 | W022 | host=file-srv-01 user=svc_backup process=backup-agent | backup-agent:1230@file-srv-01 --connect--> 10.20.1.41:873 (socket) | cmd=connect | args=backup metadata sync to monitoring server
- ... 66 additional audit rows omitted for W022

### Network flow side-view evidence
- BF000817 | 2026-01-20 12:40:00~2026-01-20 12:40:42 | W022 | ws-finance-01 10.20.1.11:49675 -> 192.0.2.10:443 | service=HTTPS pattern=benign_update | bytes_out=4430 bytes_in=109475 | related_audit=B002095
- BF000810 | 2026-01-20 12:40:03~2026-01-20 12:40:07 | W022 | mon-srv-01 10.20.1.41:57104 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1632 bytes_in=8701 | related_audit=B002084
- BF000812 | 2026-01-20 12:40:08~2026-01-20 12:40:12 | W022 | mon-srv-01 10.20.1.41:56112 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1092 bytes_in=6270 | related_audit=B002086
- BF000816 | 2026-01-20 12:40:08~2026-01-20 12:40:26 | W022 | ws-finance-01 10.20.1.11:54364 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=3334 bytes_in=23442 | related_audit=B002093
- BF000813 | 2026-01-20 12:40:08~2026-01-20 12:40:17 | W022 | mon-srv-01 10.20.1.41:48148 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=1759 bytes_in=11718 | related_audit=B002088
- BF000811 | 2026-01-20 12:40:14~2026-01-20 12:40:16 | W022 | mon-srv-01 10.20.1.41:52058 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1064 bytes_in=3168 | related_audit=B002085
- BF000814 | 2026-01-20 12:40:14~2026-01-20 12:40:22 | W022 | mon-srv-01 10.20.1.41:45764 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=1384 bytes_in=9662 | related_audit=B002089
- BF000809 | 2026-01-20 12:40:19~2026-01-20 12:40:22 | W022 | mon-srv-01 10.20.1.41:49031 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1610 bytes_in=6710 | related_audit=B002083
- BF000815 | 2026-01-20 12:40:39~2026-01-20 12:40:47 | W022 | mon-srv-01 10.20.1.41:54827 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=1578 bytes_in=12889 | related_audit=B002090
- BF000818 | 2026-01-20 12:41:39~2026-01-20 12:42:27 | W022 | ws-dev-02 10.20.1.12:56401 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=32336 bytes_in=26467 | related_audit=B002101
- BF000821 | 2026-01-20 12:42:10~2026-01-20 12:42:14 | W022 | mon-srv-01 10.20.1.41:47603 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1139 bytes_in=7590 | related_audit=B002108
- BF000822 | 2026-01-20 12:42:11~2026-01-20 12:42:14 | W022 | mon-srv-01 10.20.1.41:56826 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1681 bytes_in=6798 | related_audit=B002109
- BF000820 | 2026-01-20 12:42:13~2026-01-20 12:42:18 | W022 | mon-srv-01 10.20.1.41:51118 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1277 bytes_in=8644 | related_audit=B002107
- BF000819 | 2026-01-20 12:42:15~2026-01-20 12:42:20 | W022 | mon-srv-01 10.20.1.41:56063 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=972 bytes_in=8478 | related_audit=B002106
- BF000823 | 2026-01-20 12:42:28~2026-01-20 12:42:40 | W022 | ws-finance-01 10.20.1.11:52663 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=2732 bytes_in=60721 | related_audit=B002111
- BF000824 | 2026-01-20 12:44:04~2026-01-20 12:44:08 | W022 | mon-srv-01 10.20.1.41:44481 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1296 bytes_in=8832 | related_audit=B002121
- BF000825 | 2026-01-20 12:44:14~2026-01-20 12:44:17 | W022 | mon-srv-01 10.20.1.41:49928 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1714 bytes_in=8848 | related_audit=B002122
- BF000827 | 2026-01-20 12:44:20~2026-01-20 12:44:24 | W022 | mon-srv-01 10.20.1.41:54707 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1597 bytes_in=5015 | related_audit=B002124
- BF000826 | 2026-01-20 12:44:21~2026-01-20 12:44:25 | W022 | mon-srv-01 10.20.1.41:58547 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1342 bytes_in=5516 | related_audit=B002123
- BF000832 | 2026-01-20 12:45:12~2026-01-20 12:45:24 | W022 | ws-finance-01 10.20.1.11:45480 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=2054 bytes_in=22917 | related_audit=B002139
- BF000829 | 2026-01-20 12:45:15~2026-01-20 12:45:21 | W022 | mon-srv-01 10.20.1.41:56501 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=1736 bytes_in=13666 | related_audit=B002135
- BF000831 | 2026-01-20 12:45:19~2026-01-20 12:45:31 | W022 | ws-finance-01 10.20.1.11:53404 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=3826 bytes_in=37280 | related_audit=B002137
- BF000830 | 2026-01-20 12:45:38~2026-01-20 12:45:45 | W022 | mon-srv-01 10.20.1.41:54286 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=1508 bytes_in=17418 | related_audit=B002136
- BF000828 | 2026-01-20 12:45:52~2026-01-20 12:45:56 | W022 | mon-srv-01 10.20.1.41:43005 -> 10.20.1.11:6514 | service=SYSLOG pattern=log_collection | bytes_out=1294 bytes_in=8501 | related_audit=B002134
- BF000837 | 2026-01-20 12:46:01~2026-01-20 12:46:30 | W022 | ws-dev-02 10.20.1.12:56130 -> 10.20.1.31:22 | service=SSH pattern=dev_ssh | bytes_out=25485 bytes_in=12883 | related_audit=B002150
- BF000836 | 2026-01-20 12:46:09~2026-01-20 12:46:15 | W022 | mon-srv-01 10.20.1.41:59989 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1161 bytes_in=3087 | related_audit=B002148
- F0012 | 2026-01-20 12:46:12~2026-01-20 12:46:21 | W022 | portal-web-01 10.20.1.31:49816 -> 198.51.100.77:443 | service=HTTPS pattern=beacon | bytes_out=1260 bytes_in=850 | related_audit=E0045
- BF000835 | 2026-01-20 12:46:13~2026-01-20 12:46:18 | W022 | mon-srv-01 10.20.1.41:42712 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1781 bytes_in=8960 | related_audit=B002147
- BF000834 | 2026-01-20 12:46:16~2026-01-20 12:46:18 | W022 | mon-srv-01 10.20.1.41:42559 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1050 bytes_in=7841 | related_audit=B002146
- BF000833 | 2026-01-20 12:46:17~2026-01-20 12:46:20 | W022 | mon-srv-01 10.20.1.41:51436 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1578 bytes_in=7463 | related_audit=B002145
- BF000838 | 2026-01-20 12:46:43~2026-01-20 12:46:56 | W022 | ws-dev-02 10.20.1.12:51975 -> 192.0.2.30:443 | service=HTTPS pattern=dev_repo_access | bytes_out=7272 bytes_in=169740 | related_audit=B002152
- BF000843 | 2026-01-20 12:48:03~2026-01-20 12:48:19 | W022 | ws-finance-01 10.20.1.11:51677 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=1659 bytes_in=49095 | related_audit=B002166
- BF000841 | 2026-01-20 12:48:08~2026-01-20 12:48:14 | W022 | mon-srv-01 10.20.1.41:55512 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1285 bytes_in=6400 | related_audit=B002163
- BF000842 | 2026-01-20 12:48:14~2026-01-20 12:48:19 | W022 | mon-srv-01 10.20.1.41:53565 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=883 bytes_in=5724 | related_audit=B002164
