flow_id,start_time,end_time,window_id,src_host,src_ip,src_port,dst_ip,dst_port,protocol,service,bytes_out,bytes_in,packets_out,packets_in,duration_ms,flow_pattern,label,stage,attack_step,related_audit_events
BF000022,2026-01-20 09:04:22,2026-01-20 09:04:25,W000,mon-srv-01,10.20.1.41,47005,10.20.1.31,9100,TCP,METRIC,825,5316,1,5,3000,metrics_scrape,benign,benign,benign,B000046
BF000023,2026-01-20 09:05:24,2026-01-20 09:05:28,W000,mon-srv-01,10.20.1.41,44911,10.20.1.11,6514,TCP,SYSLOG,1888,10036,3,12,4000,log_collection,benign,benign,benign,B000056
BF000024,2026-01-20 09:05:35,2026-01-20 09:05:42,W000,mon-srv-01,10.20.1.41,51700,10.20.1.12,6514,TCP,SYSLOG,1416,7608,2,7,7000,log_collection,benign,benign,benign,B000057
BF000025,2026-01-20 09:05:39,2026-01-20 09:05:43,W000,mon-srv-01,10.20.1.41,50735,10.20.1.31,6514,TCP,SYSLOG,2263,9186,3,12,4000,log_collection,benign,benign,benign,B000058
BF000026,2026-01-20 09:05:42,2026-01-20 09:05:51,W000,ws-finance-01,10.20.1.11,60733,192.0.2.40,993,TCP,IMAPS,3371,7328,3,10,9000,mail_sync,benign,benign,benign,B000059
BF000028,2026-01-20 09:06:02,2026-01-20 09:06:07,W000,mon-srv-01,10.20.1.41,48310,10.20.1.12,9100,TCP,METRIC,1178,5225,2,4,5000,metrics_scrape,benign,benign,benign,B000065
BF000030,2026-01-20 09:06:08,2026-01-20 09:06:11,W000,mon-srv-01,10.20.1.41,52475,10.20.1.31,9100,TCP,METRIC,921,8830,2,7,3000,metrics_scrape,benign,benign,benign,B000067
BF000031,2026-01-20 09:06:09,2026-01-20 09:06:25,W000,ws-finance-01,10.20.1.11,57887,10.20.1.31,443,TCP,HTTPS,3051,58573,3,59,16000,portal_browsing,benign,benign,benign,B000069
BF000029,2026-01-20 09:06:12,2026-01-20 09:06:15,W000,mon-srv-01,10.20.1.41,58635,10.20.1.21,9100,TCP,METRIC,1600,5856,2,7,3000,metrics_scrape,benign,benign,benign,B000066
BF000032,2026-01-20 09:06:13,2026-01-20 09:06:34,W000,ws-dev-02,10.20.1.12,49828,10.20.1.31,22,TCP,SSH,25303,37088,19,34,21000,dev_ssh,benign,benign,benign,B000071
BF000027,2026-01-20 09:06:19,2026-01-20 09:06:24,W000,mon-srv-01,10.20.1.41,52476,10.20.1.11,9100,TCP,METRIC,1491,4478,2,7,5000,metrics_scrape,benign,benign,benign,B000064
BF000036,2026-01-20 09:08:02,2026-01-20 09:08:07,W000,mon-srv-01,10.20.1.41,58032,10.20.1.31,9100,TCP,METRIC,1238,7956,2,6,5000,metrics_scrape,benign,benign,benign,B000085
BF000035,2026-01-20 09:08:07,2026-01-20 09:08:09,W000,mon-srv-01,10.20.1.41,48957,10.20.1.21,9100,TCP,METRIC,1202,5681,1,5,2000,metrics_scrape,benign,benign,benign,B000084
BF000033,2026-01-20 09:08:20,2026-01-20 09:08:26,W000,mon-srv-01,10.20.1.41,50718,10.20.1.11,9100,TCP,METRIC,1402,8874,2,7,6000,metrics_scrape,benign,benign,benign,B000082
BF000034,2026-01-20 09:08:22,2026-01-20 09:08:27,W000,mon-srv-01,10.20.1.41,60662,10.20.1.12,9100,TCP,METRIC,1740,7607,3,7,5000,metrics_scrape,benign,benign,benign,B000083
BF000037,2026-01-20 09:08:32,2026-01-20 09:08:41,W000,ws-finance-01,10.20.1.11,43043,10.20.1.21,445,TCP,SMB,2209,131574,2,213,9000,file_server_access,benign,benign,benign,B000087
BF000039,2026-01-20 09:09:20,2026-01-20 09:09:41,W000,ws-dev-02,10.20.1.12,48767,192.0.2.30,443,TCP,HTTPS,5978,201870,6,187,21000,dev_repo_access,benign,benign,benign,B000095
BF000038,2026-01-20 09:09:45,2026-01-20 09:09:51,W000,ws-finance-01,10.20.1.11,55177,10.20.1.31,443,TCP,HTTPS,2811,49630,3,34,6000,portal_browsing,benign,benign,benign,B000093
BF000040,2026-01-20 09:10:02,2026-01-20 09:10:06,W001,mon-srv-01,10.20.1.41,57277,10.20.1.11,9100,TCP,METRIC,1117,3540,2,3,4000,metrics_scrape,benign,benign,benign,B000101
BF000043,2026-01-20 09:10:11,2026-01-20 09:10:15,W001,mon-srv-01,10.20.1.41,59054,10.20.1.31,9100,TCP,METRIC,1311,7615,2,8,4000,metrics_scrape,benign,benign,benign,B000104
BF000041,2026-01-20 09:10:12,2026-01-20 09:10:16,W001,mon-srv-01,10.20.1.41,55063,10.20.1.12,9100,TCP,METRIC,1040,8936,2,8,4000,metrics_scrape,benign,benign,benign,B000102
BF000042,2026-01-20 09:10:13,2026-01-20 09:10:18,W001,mon-srv-01,10.20.1.41,56276,10.20.1.21,9100,TCP,METRIC,1708,3860,2,4,5000,metrics_scrape,benign,benign,benign,B000103
BF000047,2026-01-20 09:10:19,2026-01-20 09:10:39,W001,ws-finance-01,10.20.1.11,56702,192.0.2.40,993,TCP,IMAPS,2971,31023,3,32,20000,mail_sync,benign,benign,benign,B000109
BF000048,2026-01-20 09:10:28,2026-01-20 09:10:58,W001,ws-finance-01,10.20.1.11,57637,192.0.2.10,443,TCP,HTTPS,2379,58872,2,44,30000,benign_update,benign,benign,benign,B000111
BF000044,2026-01-20 09:10:53,2026-01-20 09:11:01,W001,mon-srv-01,10.20.1.41,42151,10.20.1.11,6514,TCP,SYSLOG,1820,16853,2,19,8000,log_collection,benign,benign,benign,B000106
BF000046,2026-01-20 09:10:53,2026-01-20 09:11:01,W001,mon-srv-01,10.20.1.41,47835,10.20.1.31,6514,TCP,SYSLOG,2326,9486,4,15,8000,log_collection,benign,benign,benign,B000108
BF000045,2026-01-20 09:10:54,2026-01-20 09:11:01,W001,mon-srv-01,10.20.1.41,53950,10.20.1.12,6514,TCP,SYSLOG,1292,5945,2,9,7000,log_collection,benign,benign,benign,B000107
BF000049,2026-01-20 09:11:11,2026-01-20 09:11:59,W001,ws-dev-02,10.20.1.12,50198,10.20.1.31,22,TCP,SSH,26537,33258,28,28,48000,dev_ssh,benign,benign,benign,B000117
BF000053,2026-01-20 09:12:06,2026-01-20 09:12:11,W001,mon-srv-01,10.20.1.41,57923,10.20.1.31,9100,TCP,METRIC,1594,5393,3,5,5000,metrics_scrape,benign,benign,benign,B000124
BF000051,2026-01-20 09:12:10,2026-01-20 09:12:13,W001,mon-srv-01,10.20.1.41,49069,10.20.1.12,9100,TCP,METRIC,1356,8488,2,8,3000,metrics_scrape,benign,benign,benign,B000122
BF000054,2026-01-20 09:12:14,2026-01-20 09:12:29,W001,ws-finance-01,10.20.1.11,58603,10.20.1.31,443,TCP,HTTPS,2681,14373,4,12,15000,portal_browsing,benign,benign,benign,B000126
BF000050,2026-01-20 09:12:20,2026-01-20 09:12:22,W001,mon-srv-01,10.20.1.41,60612,10.20.1.11,9100,TCP,METRIC,1662,8364,2,14,2000,metrics_scrape,benign,benign,benign,B000121
BF000052,2026-01-20 09:12:21,2026-01-20 09:12:24,W001,mon-srv-01,10.20.1.41,49655,10.20.1.21,9100,TCP,METRIC,1670,7052,2,9,3000,metrics_scrape,benign,benign,benign,B000123
BF000056,2026-01-20 09:14:07,2026-01-20 09:14:09,W001,mon-srv-01,10.20.1.41,59657,10.20.1.12,9100,TCP,METRIC,1732,6722,2,5,2000,metrics_scrape,benign,benign,benign,B000139
BF000057,2026-01-20 09:14:08,2026-01-20 09:14:10,W001,mon-srv-01,10.20.1.41,47724,10.20.1.21,9100,TCP,METRIC,1012,8238,1,10,2000,metrics_scrape,benign,benign,benign,B000140
BF000055,2026-01-20 09:14:09,2026-01-20 09:14:11,W001,mon-srv-01,10.20.1.41,45003,10.20.1.11,9100,TCP,METRIC,1355,7161,3,6,2000,metrics_scrape,benign,benign,benign,B000138
BF000058,2026-01-20 09:14:13,2026-01-20 09:14:18,W001,mon-srv-01,10.20.1.41,50791,10.20.1.31,9100,TCP,METRIC,862,7550,1,13,5000,metrics_scrape,benign,benign,benign,B000141
BF000063,2026-01-20 09:15:03,2026-01-20 09:15:15,W001,ws-finance-01,10.20.1.11,43910,192.0.2.40,993,TCP,IMAPS,3793,37223,4,54,12000,mail_sync,benign,benign,benign,B000153
BF000059,2026-01-20 09:15:11,2026-01-20 09:15:20,W001,mon-srv-01,10.20.1.41,50727,10.20.1.11,6514,TCP,SYSLOG,1359,15790,2,13,9000,log_collection,benign,benign,benign,B000148
BF000062,2026-01-20 09:15:20,2026-01-20 09:15:38,W001,ws-finance-01,10.20.1.11,45181,10.20.1.31,443,TCP,HTTPS,2598,23479,2,17,18000,portal_browsing,benign,benign,benign,B000151
BF000060,2026-01-20 09:15:34,2026-01-20 09:15:41,W001,mon-srv-01,10.20.1.41,60006,10.20.1.12,6514,TCP,SYSLOG,1978,14948,3,14,7000,log_collection,benign,benign,benign,B000149
BF000061,2026-01-20 09:15:42,2026-01-20 09:15:50,W001,mon-srv-01,10.20.1.41,43255,10.20.1.31,6514,TCP,SYSLOG,1410,18608,2,28,8000,log_collection,benign,benign,benign,B000150
BF000067,2026-01-20 09:16:02,2026-01-20 09:16:06,W001,mon-srv-01,10.20.1.41,46550,10.20.1.31,9100,TCP,METRIC,1030,3639,2,4,4000,metrics_scrape,benign,benign,benign,B000161
BF000069,2026-01-20 09:16:04,2026-01-20 09:17:10,W001,ws-dev-02,10.20.1.12,49788,10.20.1.31,22,TCP,SSH,6592,13779,7,11,66000,dev_ssh,benign,benign,benign,B000164
BF000066,2026-01-20 09:16:10,2026-01-20 09:16:15,W001,mon-srv-01,10.20.1.41,53589,10.20.1.21,9100,TCP,METRIC,1344,8757,2,15,5000,metrics_scrape,benign,benign,benign,B000160
BF000064,2026-01-20 09:16:18,2026-01-20 09:16:24,W001,mon-srv-01,10.20.1.41,42105,10.20.1.11,9100,TCP,METRIC,1356,7737,2,12,6000,metrics_scrape,benign,benign,benign,B000158
BF000065,2026-01-20 09:16:18,2026-01-20 09:16:23,W001,mon-srv-01,10.20.1.41,59172,10.20.1.12,9100,TCP,METRIC,1234,4489,2,7,5000,metrics_scrape,benign,benign,benign,B000159
BF000068,2026-01-20 09:16:19,2026-01-20 09:16:27,W001,ws-finance-01,10.20.1.11,51929,10.20.1.21,445,TCP,SMB,1343,346127,2,329,8000,file_server_access,benign,benign,benign,B000163
BF000070,2026-01-20 09:16:31,2026-01-20 09:16:56,W001,ws-dev-02,10.20.1.12,59127,192.0.2.30,443,TCP,HTTPS,4379,101564,6,70,25000,dev_repo_access,benign,benign,benign,B000166
BF000071,2026-01-20 09:18:09,2026-01-20 09:18:12,W001,mon-srv-01,10.20.1.41,43476,10.20.1.11,9100,TCP,METRIC,1659,5764,2,7,3000,metrics_scrape,benign,benign,benign,B000176
BF000073,2026-01-20 09:18:10,2026-01-20 09:18:16,W001,mon-srv-01,10.20.1.41,57730,10.20.1.21,9100,TCP,METRIC,1658,5593,3,9,6000,metrics_scrape,benign,benign,benign,B000178
BF000072,2026-01-20 09:18:12,2026-01-20 09:18:16,W001,mon-srv-01,10.20.1.41,57049,10.20.1.12,9100,TCP,METRIC,1067,4949,1,8,4000,metrics_scrape,benign,benign,benign,B000177
BF000074,2026-01-20 09:18:15,2026-01-20 09:18:18,W001,mon-srv-01,10.20.1.41,60990,10.20.1.31,9100,TCP,METRIC,1696,6985,3,10,3000,metrics_scrape,benign,benign,benign,B000179
BF000076,2026-01-20 09:18:31,2026-01-20 09:20:17,W001,file-srv-01,10.20.1.21,58996,10.20.1.41,873,TCP,RSYNC,100862,16570,111,15,106000,backup_sync,benign,benign,benign,B000185
BF000075,2026-01-20 09:18:37,2026-01-20 09:18:46,W001,ws-finance-01,10.20.1.11,56013,10.20.1.31,443,TCP,HTTPS,2055,61848,2,76,9000,portal_browsing,benign,benign,benign,B000181
BF000079,2026-01-20 09:20:04,2026-01-20 09:20:07,W002,mon-srv-01,10.20.1.41,59002,10.20.1.21,9100,TCP,METRIC,1476,7356,2,8,3000,metrics_scrape,benign,benign,benign,B000196
BF000077,2026-01-20 09:20:11,2026-01-20 09:20:16,W002,mon-srv-01,10.20.1.41,49215,10.20.1.11,9100,TCP,METRIC,844,5954,2,7,5000,metrics_scrape,benign,benign,benign,B000194
BF000080,2026-01-20 09:20:12,2026-01-20 09:20:16,W002,mon-srv-01,10.20.1.41,57144,10.20.1.31,9100,TCP,METRIC,1730,3371,2,4,4000,metrics_scrape,benign,benign,benign,B000197
BF000078,2026-01-20 09:20:15,2026-01-20 09:20:21,W002,mon-srv-01,10.20.1.41,52410,10.20.1.12,9100,TCP,METRIC,928,5897,1,6,6000,metrics_scrape,benign,benign,benign,B000195
BF000081,2026-01-20 09:20:17,2026-01-20 09:20:23,W002,mon-srv-01,10.20.1.41,44512,10.20.1.11,6514,TCP,SYSLOG,1956,7136,3,6,6000,log_collection,benign,benign,benign,B000199
BF000085,2026-01-20 09:20:27,2026-01-20 09:20:39,W002,ws-finance-01,10.20.1.11,52283,192.0.2.40,993,TCP,IMAPS,2250,24797,3,21,12000,mail_sync,benign,benign,benign,B000204
BF000082,2026-01-20 09:20:32,2026-01-20 09:20:36,W002,mon-srv-01,10.20.1.41,57762,10.20.1.12,6514,TCP,SYSLOG,1310,6776,2,5,4000,log_collection,benign,benign,benign,B000200
BF000084,2026-01-20 09:20:47,2026-01-20 09:20:59,W002,ws-finance-01,10.20.1.11,42712,10.20.1.21,445,TCP,SMB,6839,336349,12,301,12000,file_server_access,benign,benign,benign,B000202
BF000083,2026-01-20 09:20:54,2026-01-20 09:21:01,W002,mon-srv-01,10.20.1.41,44086,10.20.1.31,6514,TCP,SYSLOG,1946,15859,2,17,7000,log_collection,benign,benign,benign,B000201
BF000087,2026-01-20 09:21:41,2026-01-20 09:22:07,W002,ws-dev-02,10.20.1.12,46309,10.20.1.31,22,TCP,SSH,35369,16980,39,13,26000,dev_ssh,benign,benign,benign,B000213
BF000086,2026-01-20 09:21:47,2026-01-20 09:22:00,W002,ws-finance-01,10.20.1.11,49296,10.20.1.31,443,TCP,HTTPS,3823,28388,4,37,13000,portal_browsing,benign,benign,benign,B000211
BF000090,2026-01-20 09:22:07,2026-01-20 09:22:11,W002,mon-srv-01,10.20.1.41,59587,10.20.1.21,9100,TCP,METRIC,1649,7159,3,10,4000,metrics_scrape,benign,benign,benign,B000221
BF000091,2026-01-20 09:22:20,2026-01-20 09:22:24,W002,mon-srv-01,10.20.1.41,46878,10.20.1.31,9100,TCP,METRIC,803,4481,1,4,4000,metrics_scrape,benign,benign,benign,B000222
BF000088,2026-01-20 09:22:22,2026-01-20 09:22:28,W002,mon-srv-01,10.20.1.41,57601,10.20.1.11,9100,TCP,METRIC,1509,8286,2,7,6000,metrics_scrape,benign,benign,benign,B000219
BF000089,2026-01-20 09:22:22,2026-01-20 09:22:26,W002,mon-srv-01,10.20.1.41,55783,10.20.1.12,9100,TCP,METRIC,1379,8926,2,6,4000,metrics_scrape,benign,benign,benign,B000220
BF000092,2026-01-20 09:23:39,2026-01-20 09:23:48,W002,ws-dev-02,10.20.1.12,47530,192.0.2.30,443,TCP,HTTPS,2988,27364,4,21,9000,dev_repo_access,benign,benign,benign,B000228
BF000093,2026-01-20 09:24:08,2026-01-20 09:24:12,W002,mon-srv-01,10.20.1.41,56925,10.20.1.11,9100,TCP,METRIC,1702,4137,2,6,4000,metrics_scrape,benign,benign,benign,B000232
BF000094,2026-01-20 09:24:08,2026-01-20 09:24:11,W002,mon-srv-01,10.20.1.41,56801,10.20.1.12,9100,TCP,METRIC,1209,4643,1,4,3000,metrics_scrape,benign,benign,benign,B000233
BF000095,2026-01-20 09:24:08,2026-01-20 09:24:11,W002,mon-srv-01,10.20.1.41,54879,10.20.1.21,9100,TCP,METRIC,965,3152,1,3,3000,metrics_scrape,benign,benign,benign,B000234
BF000096,2026-01-20 09:24:17,2026-01-20 09:24:20,W002,mon-srv-01,10.20.1.41,53696,10.20.1.31,9100,TCP,METRIC,1249,7700,2,8,3000,metrics_scrape,benign,benign,benign,B000235
F0001,2026-01-20 09:24:17,2026-01-20 09:24:55,W002,ws-finance-01,10.20.1.11,49152,198.51.100.23,443,TCP,HTTPS,1840,91240,22,78,38000,payload_download,malicious,IA,A1,"E0001,E0002"
BF000097,2026-01-20 09:24:43,2026-01-20 09:24:54,W002,ws-finance-01,10.20.1.11,59068,10.20.1.31,443,TCP,HTTPS,4289,20095,4,21,11000,portal_browsing,benign,benign,benign,B000237
BF000101,2026-01-20 09:25:08,2026-01-20 09:25:22,W002,ws-finance-01,10.20.1.11,52544,192.0.2.40,993,TCP,IMAPS,2947,20947,3,31,14000,mail_sync,benign,benign,benign,B000250
BF000100,2026-01-20 09:25:28,2026-01-20 09:25:36,W002,mon-srv-01,10.20.1.41,54155,10.20.1.31,6514,TCP,SYSLOG,1282,13919,2,12,8000,log_collection,benign,benign,benign,B000249
BF000099,2026-01-20 09:25:45,2026-01-20 09:25:53,W002,mon-srv-01,10.20.1.41,51760,10.20.1.12,6514,TCP,SYSLOG,1457,6436,2,6,8000,log_collection,benign,benign,benign,B000248
BF000098,2026-01-20 09:25:50,2026-01-20 09:25:57,W002,mon-srv-01,10.20.1.41,60653,10.20.1.11,6514,TCP,SYSLOG,1296,15944,2,12,7000,log_collection,benign,benign,benign,B000247
BF000104,2026-01-20 09:26:05,2026-01-20 09:26:11,W002,mon-srv-01,10.20.1.41,47972,10.20.1.21,9100,TCP,METRIC,877,4763,1,6,6000,metrics_scrape,benign,benign,benign,B000257
BF000102,2026-01-20 09:26:06,2026-01-20 09:26:10,W002,mon-srv-01,10.20.1.41,48883,10.20.1.11,9100,TCP,METRIC,941,7000,2,7,4000,metrics_scrape,benign,benign,benign,B000255
BF000103,2026-01-20 09:26:07,2026-01-20 09:26:11,W002,mon-srv-01,10.20.1.41,53850,10.20.1.12,9100,TCP,METRIC,1024,8589,2,12,4000,metrics_scrape,benign,benign,benign,B000256
BF000106,2026-01-20 09:26:17,2026-01-20 09:26:51,W002,ws-dev-02,10.20.1.12,54700,10.20.1.31,22,TCP,SSH,37257,52318,49,42,34000,dev_ssh,benign,benign,benign,B000260
BF000105,2026-01-20 09:26:20,2026-01-20 09:26:26,W002,mon-srv-01,10.20.1.41,49013,10.20.1.31,9100,TCP,METRIC,1185,7091,1,12,6000,metrics_scrape,benign,benign,benign,B000258
BF000107,2026-01-20 09:27:12,2026-01-20 09:27:27,W002,ws-finance-01,10.20.1.11,44168,10.20.1.31,443,TCP,HTTPS,3720,51034,4,59,15000,portal_browsing,benign,benign,benign,B000267
BF000108,2026-01-20 09:28:02,2026-01-20 09:28:04,W002,mon-srv-01,10.20.1.41,49305,10.20.1.11,9100,TCP,METRIC,1571,6839,2,11,2000,metrics_scrape,benign,benign,benign,B000273
BF000109,2026-01-20 09:28:03,2026-01-20 09:28:07,W002,mon-srv-01,10.20.1.41,56359,10.20.1.12,9100,TCP,METRIC,959,6950,1,7,4000,metrics_scrape,benign,benign,benign,B000274
BF000111,2026-01-20 09:28:04,2026-01-20 09:28:06,W002,mon-srv-01,10.20.1.41,47611,10.20.1.31,9100,TCP,METRIC,1136,4574,2,5,2000,metrics_scrape,benign,benign,benign,B000276
BF000110,2026-01-20 09:28:11,2026-01-20 09:28:13,W002,mon-srv-01,10.20.1.41,53277,10.20.1.21,9100,TCP,METRIC,1626,3302,2,4,2000,metrics_scrape,benign,benign,benign,B000275
BF000114,2026-01-20 09:30:02,2026-01-20 09:30:04,W003,mon-srv-01,10.20.1.41,55456,10.20.1.21,9100,TCP,METRIC,1509,3387,2,6,2000,metrics_scrape,benign,benign,benign,B000289
BF000120,2026-01-20 09:30:11,2026-01-20 09:30:17,W003,ws-finance-01,10.20.1.11,56919,192.0.2.40,993,TCP,IMAPS,3649,42250,4,68,6000,mail_sync,benign,benign,benign,B000297
BF000113,2026-01-20 09:30:13,2026-01-20 09:30:18,W003,mon-srv-01,10.20.1.41,54974,10.20.1.12,9100,TCP,METRIC,854,5432,1,5,5000,metrics_scrape,benign,benign,benign,B000288
BF000112,2026-01-20 09:30:17,2026-01-20 09:30:22,W003,mon-srv-01,10.20.1.41,48222,10.20.1.11,9100,TCP,METRIC,1025,5064,2,4,5000,metrics_scrape,benign,benign,benign,B000287
BF000115,2026-01-20 09:30:20,2026-01-20 09:30:23,W003,mon-srv-01,10.20.1.41,49251,10.20.1.31,9100,TCP,METRIC,849,8490,1,6,3000,metrics_scrape,benign,benign,benign,B000290
BF000121,2026-01-20 09:30:25,2026-01-20 09:30:43,W003,ws-dev-02,10.20.1.12,52936,192.0.2.30,443,TCP,HTTPS,2058,227951,2,165,18000,dev_repo_access,benign,benign,benign,B000299
BF000117,2026-01-20 09:30:26,2026-01-20 09:30:35,W003,mon-srv-01,10.20.1.41,53842,10.20.1.12,6514,TCP,SYSLOG,2156,13864,2,17,9000,log_collection,benign,benign,benign,B000293
BF000118,2026-01-20 09:30:29,2026-01-20 09:30:38,W003,mon-srv-01,10.20.1.41,50864,10.20.1.31,6514,TCP,SYSLOG,2184,12499,2,13,9000,log_collection,benign,benign,benign,B000294
BF000119,2026-01-20 09:30:35,2026-01-20 09:30:43,W003,ws-finance-01,10.20.1.11,56558,10.20.1.31,443,TCP,HTTPS,1544,47410,2,42,8000,portal_browsing,benign,benign,benign,B000295
BF000116,2026-01-20 09:30:39,2026-01-20 09:30:46,W003,mon-srv-01,10.20.1.41,54392,10.20.1.11,6514,TCP,SYSLOG,1449,11778,2,20,7000,log_collection,benign,benign,benign,B000292
BF000122,2026-01-20 09:31:22,2026-01-20 09:32:26,W003,ws-dev-02,10.20.1.12,43823,10.20.1.31,22,TCP,SSH,26663,9370,30,8,64000,dev_ssh,benign,benign,benign,B000307
BF000125,2026-01-20 09:32:04,2026-01-20 09:32:09,W003,mon-srv-01,10.20.1.41,58143,10.20.1.21,9100,TCP,METRIC,1645,5630,2,6,5000,metrics_scrape,benign,benign,benign,B000314
BF000123,2026-01-20 09:32:09,2026-01-20 09:32:13,W003,mon-srv-01,10.20.1.41,58398,10.20.1.11,9100,TCP,METRIC,803,7734,1,6,4000,metrics_scrape,benign,benign,benign,B000312
BF000124,2026-01-20 09:32:13,2026-01-20 09:32:15,W003,mon-srv-01,10.20.1.41,60194,10.20.1.12,9100,TCP,METRIC,1307,7286,1,12,2000,metrics_scrape,benign,benign,benign,B000313
BF000126,2026-01-20 09:32:16,2026-01-20 09:32:21,W003,mon-srv-01,10.20.1.41,50463,10.20.1.31,9100,TCP,METRIC,1337,6361,1,8,5000,metrics_scrape,benign,benign,benign,B000315
BF000128,2026-01-20 09:33:04,2026-01-20 09:33:36,W003,file-srv-01,10.20.1.21,51528,10.20.1.41,873,TCP,RSYNC,46338,17230,32,17,32000,backup_sync,benign,benign,benign,B000326
BF000127,2026-01-20 09:33:51,2026-01-20 09:34:04,W003,ws-finance-01,10.20.1.11,59980,10.20.1.31,443,TCP,HTTPS,3128,65217,4,78,13000,portal_browsing,benign,benign,benign,B000323
