metric_id,timestamp,window_id,host,cpu_percent,mem_percent,disk_read_bytes,disk_write_bytes,net_in_bytes,net_out_bytes,proc_count,file_open_count,login_count,top_process_hint,metric_note,label,stage,attack_step
M000022,2026-01-20 09:04:00,W000,ws-dev-02,25.51,51.49,117786,94869,7014,5796,131,381,1,dev-shell,normal baseline,benign,benign,benign
M000021,2026-01-20 09:04:00,W000,ws-finance-01,18.96,46.67,94753,67768,5279,2311,112,326,1,office-apps,normal baseline,benign,benign,benign
M000028,2026-01-20 09:05:00,W000,file-srv-01,18.97,44.07,180469,88876,10099,10397,94,425,0,smbd,normal baseline,benign,benign,benign
M000030,2026-01-20 09:05:00,W000,mon-srv-01,22.1,62.21,109244,107141,13986,14284,116,404,0,prometheus,normal baseline,benign,benign,benign
M000029,2026-01-20 09:05:00,W000,portal-web-01,21.57,55.22,109887,105646,6434,8716,101,342,0,nginx,normal baseline,benign,benign,benign
M000027,2026-01-20 09:05:00,W000,ws-dev-02,19.65,53.45,160085,101513,8388,4680,129,342,1,dev-shell,normal baseline,benign,benign,benign
M000026,2026-01-20 09:05:00,W000,ws-finance-01,17.22,47.37,50380,121657,6621,5421,109,331,1,office-apps,normal baseline,benign,benign,benign
M000033,2026-01-20 09:06:00,W000,file-srv-01,15.08,44.06,209853,88140,5396,13442,96,425,0,smbd,normal baseline,benign,benign,benign
M000035,2026-01-20 09:06:00,W000,mon-srv-01,25.7,63.36,106461,211512,12513,7598,122,395,0,prometheus,normal baseline,benign,benign,benign
M000034,2026-01-20 09:06:00,W000,portal-web-01,21.98,56.14,67978,114378,9082,9651,100,388,0,nginx,normal baseline,benign,benign,benign
M000032,2026-01-20 09:06:00,W000,ws-dev-02,25.74,51.33,178011,83558,3666,6854,130,341,1,dev-shell,normal baseline,benign,benign,benign
M000031,2026-01-20 09:06:00,W000,ws-finance-01,16.1,49.0,115504,88596,2659,4456,106,302,1,office-apps,normal baseline,benign,benign,benign
M000038,2026-01-20 09:07:00,W000,file-srv-01,19.41,45.11,193848,110324,5396,8636,96,423,0,smbd,normal baseline,benign,benign,benign
M000040,2026-01-20 09:07:00,W000,mon-srv-01,26.98,63.01,95823,146001,16586,8953,119,439,0,prometheus,normal baseline,benign,benign,benign
M000039,2026-01-20 09:07:00,W000,portal-web-01,20.93,57.5,82727,72822,6059,7798,107,370,0,nginx,normal baseline,benign,benign,benign
M000037,2026-01-20 09:07:00,W000,ws-dev-02,20.56,51.35,134889,109839,4179,5391,121,357,1,dev-shell,normal baseline,benign,benign,benign
M000036,2026-01-20 09:07:00,W000,ws-finance-01,19.33,46.53,89589,78924,4185,4229,107,299,1,office-apps,normal baseline,benign,benign,benign
M000043,2026-01-20 09:08:00,W000,file-srv-01,15.05,41.73,205884,98098,8582,5679,96,417,0,smbd,normal baseline,benign,benign,benign
M000045,2026-01-20 09:08:00,W000,mon-srv-01,26.1,63.0,155863,201923,15766,10417,116,429,0,prometheus,normal baseline,benign,benign,benign
M000044,2026-01-20 09:08:00,W000,portal-web-01,19.68,57.44,99796,72916,11475,6983,102,353,0,nginx,normal baseline,benign,benign,benign
M000042,2026-01-20 09:08:00,W000,ws-dev-02,20.68,51.01,108936,90722,2318,4985,129,378,1,dev-shell,normal baseline,benign,benign,benign
M000041,2026-01-20 09:08:00,W000,ws-finance-01,17.01,49.08,87483,45405,5596,3819,107,330,1,office-apps,normal baseline,benign,benign,benign
M000048,2026-01-20 09:09:00,W000,file-srv-01,16.56,43.17,157192,63907,8574,14609,93,376,0,smbd,normal baseline,benign,benign,benign
M000050,2026-01-20 09:09:00,W000,mon-srv-01,23.22,61.58,123494,235078,14804,11981,123,400,0,prometheus,normal baseline,benign,benign,benign
M000049,2026-01-20 09:09:00,W000,portal-web-01,15.23,57.54,112185,87053,8273,10006,104,377,0,nginx,normal baseline,benign,benign,benign
M000047,2026-01-20 09:09:00,W000,ws-dev-02,22.8,51.74,122741,111358,5929,2510,125,341,1,dev-shell,normal baseline,benign,benign,benign
M000046,2026-01-20 09:09:00,W000,ws-finance-01,21.37,47.67,82875,107365,5438,4169,110,282,1,office-apps,normal baseline,benign,benign,benign
M000053,2026-01-20 09:10:00,W001,file-srv-01,14.53,44.11,179642,104356,6506,5143,90,418,0,smbd,normal baseline,benign,benign,benign
M000055,2026-01-20 09:10:00,W001,mon-srv-01,26.18,62.66,118823,195938,12719,5500,120,405,0,prometheus,normal baseline,benign,benign,benign
M000054,2026-01-20 09:10:00,W001,portal-web-01,23.86,56.55,99074,98059,12501,9630,105,369,0,nginx,normal baseline,benign,benign,benign
M000052,2026-01-20 09:10:00,W001,ws-dev-02,22.66,50.4,164604,126827,4658,5877,127,360,1,dev-shell,normal baseline,benign,benign,benign
M000051,2026-01-20 09:10:00,W001,ws-finance-01,17.28,48.38,103790,67194,5378,4329,116,356,1,office-apps,normal baseline,benign,benign,benign
M000058,2026-01-20 09:11:00,W001,file-srv-01,17.04,43.39,200642,100904,8592,12603,92,427,0,smbd,normal baseline,benign,benign,benign
M000060,2026-01-20 09:11:00,W001,mon-srv-01,24.58,62.39,113474,114505,11520,6489,114,404,0,prometheus,normal baseline,benign,benign,benign
M000059,2026-01-20 09:11:00,W001,portal-web-01,21.74,56.72,75436,98319,11271,9785,106,352,0,nginx,normal baseline,benign,benign,benign
M000057,2026-01-20 09:11:00,W001,ws-dev-02,21.02,51.48,153015,81291,5372,8078,124,376,1,dev-shell,normal baseline,benign,benign,benign
M000056,2026-01-20 09:11:00,W001,ws-finance-01,16.41,46.55,103806,82336,3960,3365,113,331,1,office-apps,normal baseline,benign,benign,benign
M000063,2026-01-20 09:12:00,W001,file-srv-01,17.85,41.82,156915,121578,7451,8248,89,416,0,smbd,normal baseline,benign,benign,benign
M000065,2026-01-20 09:12:00,W001,mon-srv-01,24.02,62.06,99300,214191,15485,10415,119,407,0,prometheus,normal baseline,benign,benign,benign
M000064,2026-01-20 09:12:00,W001,portal-web-01,22.88,57.13,118221,134299,7320,7613,102,386,0,nginx,normal baseline,benign,benign,benign
M000062,2026-01-20 09:12:00,W001,ws-dev-02,24.38,51.49,120791,133771,4858,5467,128,326,1,dev-shell,normal baseline,benign,benign,benign
M000061,2026-01-20 09:12:00,W001,ws-finance-01,18.0,47.57,75718,82195,2994,2185,109,301,1,office-apps,normal baseline,benign,benign,benign
M000068,2026-01-20 09:13:00,W001,file-srv-01,17.9,43.88,126737,62152,2636,12007,96,383,0,smbd,normal baseline,benign,benign,benign
M000070,2026-01-20 09:13:00,W001,mon-srv-01,20.12,62.35,105485,215992,8390,9275,119,424,0,prometheus,normal baseline,benign,benign,benign
M000069,2026-01-20 09:13:00,W001,portal-web-01,19.61,58.3,134487,67257,7031,9785,101,373,0,nginx,normal baseline,benign,benign,benign
M000067,2026-01-20 09:13:00,W001,ws-dev-02,24.37,50.04,101314,139947,5206,4663,125,354,1,dev-shell,normal baseline,benign,benign,benign
M000066,2026-01-20 09:13:00,W001,ws-finance-01,18.69,47.16,101020,74760,3973,4984,114,304,1,office-apps,normal baseline,benign,benign,benign
M000073,2026-01-20 09:14:00,W001,file-srv-01,19.24,43.16,218478,84534,7518,12871,91,467,0,smbd,normal baseline,benign,benign,benign
M000075,2026-01-20 09:14:00,W001,mon-srv-01,22.76,61.21,115817,264794,11862,6961,121,409,0,prometheus,normal baseline,benign,benign,benign
M000074,2026-01-20 09:14:00,W001,portal-web-01,23.69,55.84,98285,96102,9528,7010,105,368,0,nginx,normal baseline,benign,benign,benign
M000072,2026-01-20 09:14:00,W001,ws-dev-02,23.38,50.06,130672,125335,5478,5324,127,399,1,dev-shell,normal baseline,benign,benign,benign
M000071,2026-01-20 09:14:00,W001,ws-finance-01,15.43,48.6,87612,86174,5267,3667,112,275,1,office-apps,normal baseline,benign,benign,benign
M000078,2026-01-20 09:15:00,W001,file-srv-01,15.57,42.38,173590,69644,10501,10466,99,436,0,smbd,normal baseline,benign,benign,benign
M000080,2026-01-20 09:15:00,W001,mon-srv-01,22.54,62.04,116016,189657,18908,8031,119,373,0,prometheus,normal baseline,benign,benign,benign
M000079,2026-01-20 09:15:00,W001,portal-web-01,22.29,57.42,93897,106845,8059,11499,102,370,0,nginx,normal baseline,benign,benign,benign
M000077,2026-01-20 09:15:00,W001,ws-dev-02,25.65,50.37,170465,131439,6437,5072,121,373,1,dev-shell,normal baseline,benign,benign,benign
M000076,2026-01-20 09:15:00,W001,ws-finance-01,21.26,47.16,44927,66598,5634,1912,106,313,1,office-apps,normal baseline,benign,benign,benign
M000083,2026-01-20 09:16:00,W001,file-srv-01,15.55,43.59,183433,98218,8739,11478,93,402,0,smbd,normal baseline,benign,benign,benign
M000085,2026-01-20 09:16:00,W001,mon-srv-01,25.07,63.07,71424,246883,12393,7393,115,420,0,prometheus,normal baseline,benign,benign,benign
M000084,2026-01-20 09:16:00,W001,portal-web-01,15.81,57.85,89311,115865,4768,8407,103,397,0,nginx,normal baseline,benign,benign,benign
M000082,2026-01-20 09:16:00,W001,ws-dev-02,19.28,53.63,69499,57011,6380,3553,126,378,1,dev-shell,normal baseline,benign,benign,benign
M000081,2026-01-20 09:16:00,W001,ws-finance-01,21.95,48.49,92469,102113,3954,2784,111,290,1,office-apps,normal baseline,benign,benign,benign
M000088,2026-01-20 09:17:00,W001,file-srv-01,20.49,44.98,183072,95346,5885,6164,94,393,0,smbd,normal baseline,benign,benign,benign
M000090,2026-01-20 09:17:00,W001,mon-srv-01,26.02,61.89,104091,158043,12730,7684,118,446,0,prometheus,normal baseline,benign,benign,benign
M000089,2026-01-20 09:17:00,W001,portal-web-01,20.62,56.79,90696,95007,8583,6269,97,391,0,nginx,normal baseline,benign,benign,benign
M000087,2026-01-20 09:17:00,W001,ws-dev-02,25.75,51.94,107926,93144,3789,4529,125,352,1,dev-shell,normal baseline,benign,benign,benign
M000086,2026-01-20 09:17:00,W001,ws-finance-01,19.33,47.73,88445,58666,5740,4935,110,272,1,office-apps,normal baseline,benign,benign,benign
M000093,2026-01-20 09:18:00,W001,file-srv-01,19.32,44.54,220153,112705,9281,3092,95,379,0,smbd,normal baseline,benign,benign,benign
M000095,2026-01-20 09:18:00,W001,mon-srv-01,26.06,62.03,116882,233263,12501,13335,119,385,0,prometheus,normal baseline,benign,benign,benign
M000094,2026-01-20 09:18:00,W001,portal-web-01,19.39,57.02,107777,98986,9328,3381,103,391,0,nginx,normal baseline,benign,benign,benign
M000092,2026-01-20 09:18:00,W001,ws-dev-02,24.83,51.16,126069,72640,10016,6562,125,334,1,dev-shell,normal baseline,benign,benign,benign
M000091,2026-01-20 09:18:00,W001,ws-finance-01,19.52,47.02,111046,94816,4260,3017,112,329,1,office-apps,normal baseline,benign,benign,benign
M000098,2026-01-20 09:19:00,W001,file-srv-01,18.45,44.26,180896,76888,3456,9140,97,431,0,smbd,normal baseline,benign,benign,benign
M000100,2026-01-20 09:19:00,W001,mon-srv-01,22.74,62.21,121834,154595,18036,8701,120,395,0,prometheus,normal baseline,benign,benign,benign
M000099,2026-01-20 09:19:00,W001,portal-web-01,22.3,57.67,29783,130963,6289,7011,106,358,0,nginx,normal baseline,benign,benign,benign
M000097,2026-01-20 09:19:00,W001,ws-dev-02,18.92,53.56,90018,82208,5649,6333,123,356,1,dev-shell,normal baseline,benign,benign,benign
M000096,2026-01-20 09:19:00,W001,ws-finance-01,17.68,47.35,67374,77909,4291,4641,114,299,1,office-apps,normal baseline,benign,benign,benign
M000103,2026-01-20 09:20:00,W002,file-srv-01,18.44,41.92,187807,90555,4509,10823,96,446,0,smbd,normal baseline,benign,benign,benign
M000105,2026-01-20 09:20:00,W002,mon-srv-01,26.18,63.28,110735,265611,15193,9929,119,429,0,prometheus,normal baseline,benign,benign,benign
M000104,2026-01-20 09:20:00,W002,portal-web-01,19.39,57.47,92681,127799,5530,6163,104,379,0,nginx,normal baseline,benign,benign,benign
M000102,2026-01-20 09:20:00,W002,ws-dev-02,23.33,51.44,123498,90814,7164,6376,122,377,1,dev-shell,normal baseline,benign,benign,benign
M000101,2026-01-20 09:20:00,W002,ws-finance-01,18.15,47.36,71024,72680,6470,4992,115,327,1,office-apps,normal baseline,benign,benign,benign
M000108,2026-01-20 09:21:00,W002,file-srv-01,17.68,44.95,122491,88893,8567,7317,103,416,0,smbd,normal baseline,benign,benign,benign
M000110,2026-01-20 09:21:00,W002,mon-srv-01,21.62,62.2,124534,167469,9570,11686,113,410,0,prometheus,normal baseline,benign,benign,benign
M000109,2026-01-20 09:21:00,W002,portal-web-01,21.74,57.31,105068,120086,7249,11751,105,386,0,nginx,normal baseline,benign,benign,benign
M000107,2026-01-20 09:21:00,W002,ws-dev-02,26.91,51.04,114576,140631,7151,8186,127,393,1,dev-shell,normal baseline,benign,benign,benign
M000106,2026-01-20 09:21:00,W002,ws-finance-01,17.77,48.02,98789,96510,5904,3390,111,302,1,office-apps,normal baseline,benign,benign,benign
M000113,2026-01-20 09:22:00,W002,file-srv-01,15.0,43.75,199315,82020,8104,9993,94,433,0,smbd,normal baseline,benign,benign,benign
M000115,2026-01-20 09:22:00,W002,mon-srv-01,24.77,62.69,165383,204967,11148,11518,116,398,0,prometheus,normal baseline,benign,benign,benign
M000114,2026-01-20 09:22:00,W002,portal-web-01,22.68,56.51,100602,102715,8131,6703,104,372,0,nginx,normal baseline,benign,benign,benign
M000112,2026-01-20 09:22:00,W002,ws-dev-02,21.93,50.59,122480,79017,4788,6410,126,367,1,dev-shell,normal baseline,benign,benign,benign
M000111,2026-01-20 09:22:00,W002,ws-finance-01,17.87,48.49,80839,91190,3858,4788,116,310,1,office-apps,normal baseline,benign,benign,benign
M000118,2026-01-20 09:23:00,W002,file-srv-01,16.62,44.5,150362,53531,5827,13905,91,444,0,smbd,normal baseline,benign,benign,benign
M000120,2026-01-20 09:23:00,W002,mon-srv-01,23.51,61.52,129730,201422,8214,6880,119,395,0,prometheus,normal baseline,benign,benign,benign
M000119,2026-01-20 09:23:00,W002,portal-web-01,18.78,57.12,59749,99112,5873,8185,105,344,0,nginx,normal baseline,benign,benign,benign
M000117,2026-01-20 09:23:00,W002,ws-dev-02,26.14,51.24,127678,122750,5748,3977,124,373,1,dev-shell,normal baseline,benign,benign,benign
M000116,2026-01-20 09:23:00,W002,ws-finance-01,18.49,48.35,105420,86409,4499,3304,115,320,1,office-apps,normal baseline,benign,benign,benign
M000123,2026-01-20 09:24:00,W002,file-srv-01,16.32,42.56,204577,101053,11386,7287,95,420,0,smbd,normal baseline,benign,benign,benign
M000125,2026-01-20 09:24:00,W002,mon-srv-01,24.26,63.65,126728,225105,14250,8901,118,435,0,prometheus,normal baseline,benign,benign,benign
M000124,2026-01-20 09:24:00,W002,portal-web-01,21.74,55.27,86075,93591,11339,8222,99,362,0,nginx,normal baseline,benign,benign,benign
M000122,2026-01-20 09:24:00,W002,ws-dev-02,23.37,53.26,84635,79996,5040,5748,124,409,1,dev-shell,normal baseline,benign,benign,benign
M000121,2026-01-20 09:24:00,W002,ws-finance-01,31.2,47.5,128000,310000,18000,2233,119,346,1,firefox,pre-download activity,suspicious,IA,"A1,A2"
M000128,2026-01-20 09:25:00,W002,file-srv-01,21.68,44.1,173046,56426,6666,12274,87,454,0,smbd,normal baseline,benign,benign,benign
M000130,2026-01-20 09:25:00,W002,mon-srv-01,21.18,61.55,138018,184194,9868,11524,118,425,0,prometheus,normal baseline,benign,benign,benign
M000129,2026-01-20 09:25:00,W002,portal-web-01,24.06,58.16,124412,73063,12891,7351,99,360,0,nginx,normal baseline,benign,benign,benign
M000127,2026-01-20 09:25:00,W002,ws-dev-02,22.27,52.07,93543,101930,5515,4185,124,364,1,dev-shell,normal baseline,benign,benign,benign
M000126,2026-01-20 09:25:00,W002,ws-finance-01,64.8,49.2,244000,1420000,93400,3200,126,388,1,update-check,payload download and write burst,suspicious,IA,"A1,A2"
M000133,2026-01-20 09:26:00,W002,file-srv-01,15.21,45.01,195122,96237,10534,8402,97,381,0,smbd,normal baseline,benign,benign,benign
M000135,2026-01-20 09:26:00,W002,mon-srv-01,26.18,61.24,137929,197826,13362,8802,117,395,0,prometheus,normal baseline,benign,benign,benign
M000134,2026-01-20 09:26:00,W002,portal-web-01,18.46,56.42,89718,103528,6230,8493,103,358,0,nginx,normal baseline,benign,benign,benign
M000132,2026-01-20 09:26:00,W002,ws-dev-02,26.41,50.66,153677,142205,6589,3972,128,342,1,dev-shell,normal baseline,benign,benign,benign
M000131,2026-01-20 09:26:00,W002,ws-finance-01,58.1,49.0,196000,940000,12600,5004,127,376,1,update-check,short process and disk burst,suspicious,IA,"A1,A2"
M000138,2026-01-20 09:27:00,W002,file-srv-01,15.71,43.89,232646,85243,8520,10923,89,425,0,smbd,normal baseline,benign,benign,benign
M000140,2026-01-20 09:27:00,W002,mon-srv-01,27.62,62.96,107955,191959,12791,8961,117,408,0,prometheus,normal baseline,benign,benign,benign
M000139,2026-01-20 09:27:00,W002,portal-web-01,21.78,54.6,87173,122021,9363,6524,96,346,0,nginx,normal baseline,benign,benign,benign
M000137,2026-01-20 09:27:00,W002,ws-dev-02,23.21,54.7,92056,95835,3691,5468,126,337,1,dev-shell,normal baseline,benign,benign,benign
M000136,2026-01-20 09:27:00,W002,ws-finance-01,18.48,47.21,114024,100200,1791,2729,113,336,1,office-apps,normal baseline,benign,benign,benign
M000143,2026-01-20 09:28:00,W002,file-srv-01,13.63,44.97,162519,104366,6708,14788,95,420,0,smbd,normal baseline,benign,benign,benign
M000145,2026-01-20 09:28:00,W002,mon-srv-01,23.54,62.52,131178,157593,22021,7763,118,411,0,prometheus,normal baseline,benign,benign,benign
M000144,2026-01-20 09:28:00,W002,portal-web-01,20.37,55.8,94825,111003,7954,9549,101,367,0,nginx,normal baseline,benign,benign,benign
M000142,2026-01-20 09:28:00,W002,ws-dev-02,28.0,52.17,115064,104378,6916,5148,124,384,1,dev-shell,normal baseline,benign,benign,benign
M000141,2026-01-20 09:28:00,W002,ws-finance-01,20.29,46.71,97636,88852,4742,3063,110,315,1,office-apps,normal baseline,benign,benign,benign
M000148,2026-01-20 09:29:00,W002,file-srv-01,14.21,42.93,157016,81993,9372,9160,95,405,0,smbd,normal baseline,benign,benign,benign
M000150,2026-01-20 09:29:00,W002,mon-srv-01,27.39,60.43,109901,183884,15318,12277,115,420,0,prometheus,normal baseline,benign,benign,benign
M000149,2026-01-20 09:29:00,W002,portal-web-01,20.44,57.13,108105,103532,8611,5194,101,342,0,nginx,normal baseline,benign,benign,benign
M000147,2026-01-20 09:29:00,W002,ws-dev-02,20.61,51.46,136947,99593,6634,4632,122,349,1,dev-shell,normal baseline,benign,benign,benign
M000146,2026-01-20 09:29:00,W002,ws-finance-01,20.3,48.39,101493,103955,4338,2776,109,293,1,office-apps,normal baseline,benign,benign,benign
M000153,2026-01-20 09:30:00,W003,file-srv-01,19.05,45.03,234030,89083,8633,12447,93,404,0,smbd,normal baseline,benign,benign,benign
M000155,2026-01-20 09:30:00,W003,mon-srv-01,23.64,61.26,131844,183102,16443,13595,115,422,0,prometheus,normal baseline,benign,benign,benign
M000154,2026-01-20 09:30:00,W003,portal-web-01,19.1,56.28,78833,83500,12560,6398,99,391,0,nginx,normal baseline,benign,benign,benign
M000152,2026-01-20 09:30:00,W003,ws-dev-02,22.83,50.23,142014,84236,4585,5069,122,378,1,dev-shell,normal baseline,benign,benign,benign
M000151,2026-01-20 09:30:00,W003,ws-finance-01,14.34,46.4,88834,97483,4723,3007,112,328,1,office-apps,normal baseline,benign,benign,benign
M000158,2026-01-20 09:31:00,W003,file-srv-01,19.24,43.22,151424,67179,6575,7854,97,417,0,smbd,normal baseline,benign,benign,benign
M000160,2026-01-20 09:31:00,W003,mon-srv-01,25.74,62.97,147273,168728,10491,10086,115,428,0,prometheus,normal baseline,benign,benign,benign
M000159,2026-01-20 09:31:00,W003,portal-web-01,20.1,56.33,81693,78651,9367,11227,98,379,0,nginx,normal baseline,benign,benign,benign
M000157,2026-01-20 09:31:00,W003,ws-dev-02,25.81,50.41,136562,93892,4907,5724,124,328,1,dev-shell,normal baseline,benign,benign,benign
M000156,2026-01-20 09:31:00,W003,ws-finance-01,19.55,45.77,81034,67794,5063,4553,111,337,1,office-apps,normal baseline,benign,benign,benign
M000163,2026-01-20 09:32:00,W003,file-srv-01,12.8,43.45,204305,115910,10128,9735,90,423,0,smbd,normal baseline,benign,benign,benign
M000165,2026-01-20 09:32:00,W003,mon-srv-01,28.92,63.37,129301,181297,10710,7640,112,413,0,prometheus,normal baseline,benign,benign,benign
M000164,2026-01-20 09:32:00,W003,portal-web-01,22.39,56.2,106509,128389,12339,11887,104,346,0,nginx,normal baseline,benign,benign,benign
M000162,2026-01-20 09:32:00,W003,ws-dev-02,24.01,51.17,125494,103307,6588,6894,128,398,1,dev-shell,normal baseline,benign,benign,benign
M000161,2026-01-20 09:32:00,W003,ws-finance-01,22.16,47.14,96088,90488,5783,4501,112,295,1,office-apps,normal baseline,benign,benign,benign
M000168,2026-01-20 09:33:00,W003,file-srv-01,17.86,43.1,197312,83900,4066,9504,92,420,0,smbd,normal baseline,benign,benign,benign
M000170,2026-01-20 09:33:00,W003,mon-srv-01,26.95,62.11,111364,183668,14066,11189,120,425,0,prometheus,normal baseline,benign,benign,benign
M000169,2026-01-20 09:33:00,W003,portal-web-01,20.79,58.16,102264,88548,5392,7099,101,353,0,nginx,normal baseline,benign,benign,benign
M000167,2026-01-20 09:33:00,W003,ws-dev-02,27.99,52.98,148674,82267,6884,6791,123,341,1,dev-shell,normal baseline,benign,benign,benign
M000166,2026-01-20 09:33:00,W003,ws-finance-01,19.32,48.64,62938,92734,2860,1539,112,331,1,office-apps,normal baseline,benign,benign,benign
M000173,2026-01-20 09:34:00,W003,file-srv-01,12.35,45.57,175307,78464,8752,16317,90,395,0,smbd,normal baseline,benign,benign,benign
M000175,2026-01-20 09:34:00,W003,mon-srv-01,25.76,61.48,111739,247776,8398,10299,114,421,0,prometheus,normal baseline,benign,benign,benign
M000174,2026-01-20 09:34:00,W003,portal-web-01,23.13,55.6,106622,86962,8335,8275,103,375,0,nginx,normal baseline,benign,benign,benign
M000172,2026-01-20 09:34:00,W003,ws-dev-02,23.42,51.26,136202,141938,4040,4896,129,338,1,dev-shell,normal baseline,benign,benign,benign
M000171,2026-01-20 09:34:00,W003,ws-finance-01,16.99,47.16,75842,68922,3934,2978,112,331,1,office-apps,normal baseline,benign,benign,benign
M000178,2026-01-20 09:35:00,W003,file-srv-01,17.38,43.95,193594,88692,3916,12906,95,377,0,smbd,normal baseline,benign,benign,benign
M000180,2026-01-20 09:35:00,W003,mon-srv-01,26.65,63.3,142323,190060,19556,10650,118,422,0,prometheus,normal baseline,benign,benign,benign
M000179,2026-01-20 09:35:00,W003,portal-web-01,20.86,56.09,104708,107689,9136,10409,98,392,0,nginx,normal baseline,benign,benign,benign
M000177,2026-01-20 09:35:00,W003,ws-dev-02,24.32,51.29,131034,122254,7306,7481,123,327,1,dev-shell,normal baseline,benign,benign,benign
M000176,2026-01-20 09:35:00,W003,ws-finance-01,18.91,46.27,67956,75116,5037,3536,106,309,1,office-apps,normal baseline,benign,benign,benign
M000183,2026-01-20 09:36:00,W003,file-srv-01,20.37,43.07,190190,96774,6703,13529,93,408,0,smbd,normal baseline,benign,benign,benign
M000185,2026-01-20 09:36:00,W003,mon-srv-01,24.08,61.72,87657,228315,11349,11513,118,409,0,prometheus,normal baseline,benign,benign,benign
M000184,2026-01-20 09:36:00,W003,portal-web-01,20.34,57.18,78943,71579,10607,5835,102,384,0,nginx,normal baseline,benign,benign,benign
M000182,2026-01-20 09:36:00,W003,ws-dev-02,20.49,51.83,106365,107252,2018,5668,129,352,1,dev-shell,normal baseline,benign,benign,benign
M000181,2026-01-20 09:36:00,W003,ws-finance-01,18.83,49.2,68701,78781,5888,2289,112,330,1,office-apps,normal baseline,benign,benign,benign
M000188,2026-01-20 09:37:00,W003,file-srv-01,15.75,45.02,196470,94602,10382,11435,91,401,0,smbd,normal baseline,benign,benign,benign
M000190,2026-01-20 09:37:00,W003,mon-srv-01,26.85,63.59,104316,207388,6781,11694,122,425,0,prometheus,normal baseline,benign,benign,benign
