# Window Context: W028

consistency_probability: 0.2971559762954712
corruption_score: 0.7028440237045288
log_side_similarity: 0.14815327525138855
unsupported_flow_count: 0
unsupported_external_flow_count: 0
unsupported_metric_clue_count: 0
unsupported_metric_zsum: 0.0

## Observed audit events in corrupted logs
- B004337 | 2026-01-20 13:40:00 | ws-dev-02 | u_dev | python3 | read | /home/u_dev/src/portal/tests/test_api.py | file | read | normal test file read
- B005428 | 2026-01-20 13:43:48 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B004716 | 2026-01-20 13:43:59 | ws-finance-01 | u_fin | firefox | read | /home/u_fin/.cache/mozilla/cookies.sqlite | file | read | browser cache read
- B002688 | 2026-01-20 13:44:02 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.31:9100 | socket | connect | scrape node_exporter on portal-web-01
- B002692 | 2026-01-20 13:44:02 | file-srv-01 | svc_backup | smbd | read | /srv/share/finance/budget_q1.xlsx | file | read | normal smb/nfs shared file access
- B002695 | 2026-01-20 13:44:05 | portal-web-01 | svc_web | logrotate | rename | /var/log/nginx/access.log | file | rename | benign log rotation
- B004765 | 2026-01-20 13:44:05 | file-srv-01 | svc_backup | smbd | read | /srv/share/public/office_schedule.xlsx | file | read | normal shared file read
- B002696 | 2026-01-20 13:44:06 | portal-web-01 | svc_web | logrotate | write | /var/log/nginx/access.log | file | write | create new access log
- B002685 | 2026-01-20 13:44:09 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.11:9100 | socket | connect | scrape node_exporter on ws-finance-01
- B002686 | 2026-01-20 13:44:09 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.12:9100 | socket | connect | scrape node_exporter on ws-dev-02
- B004490 | 2026-01-20 13:44:10 | mon-srv-01 | svc_mon | prometheus | write | /var/lib/prometheus/wal/000001 | file | write | normal metric wal write
- B002690 | 2026-01-20 13:44:15 | ws-finance-01 | u_fin | libreoffice | read | /home/u_fin/docs/payroll_notes.docx | file | read | normal document access
- B002687 | 2026-01-20 13:44:17 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.21:9100 | socket | connect | scrape node_exporter on file-srv-01
- B002691 | 2026-01-20 13:44:20 | ws-finance-01 | u_fin | libreoffice | write | /home/u_fin/docs/payroll_notes_autosave.docx | file | write | autosave office document
- B004562 | 2026-01-20 13:44:26 | mon-srv-01 | svc_mon | prometheus | write | /var/lib/prometheus/wal/000001 | file | write | normal metric wal write
- B002693 | 2026-01-20 13:44:32 | portal-web-01 | svc_web | nginx | accept | 10.20.1.41:55018 | socket | accept | normal internal https request
- B002694 | 2026-01-20 13:44:33 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B002689 | 2026-01-20 13:44:41 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
... (75 more audit events omitted)

## Unsupported network flows

## Unsupported host metric clues

## All network flows in this window
- BF001028 | 2026-01-20 13:40:07 | mon-srv-01 | 10.20.1.41 | 10.20.1.31 | 9100 | METRIC | 1153 | 6647 | metrics_scrape
- BF001026 | 2026-01-20 13:40:10 | mon-srv-01 | 10.20.1.41 | 10.20.1.12 | 9100 | METRIC | 1309 | 5152 | metrics_scrape
- BF001027 | 2026-01-20 13:40:17 | mon-srv-01 | 10.20.1.41 | 10.20.1.21 | 9100 | METRIC | 934 | 5947 | metrics_scrape
- BF001025 | 2026-01-20 13:40:22 | mon-srv-01 | 10.20.1.41 | 10.20.1.11 | 9100 | METRIC | 1202 | 5830 | metrics_scrape
- BF001032 | 2026-01-20 13:40:24 | ws-finance-01 | 10.20.1.11 | 192.0.2.40 | 993 | IMAPS | 2405 | 32272 | mail_sync
- BF001033 | 2026-01-20 13:40:28 | ws-finance-01 | 10.20.1.11 | 192.0.2.10 | 443 | HTTPS | 5865 | 51167 | benign_update
- BF001029 | 2026-01-20 13:40:30 | mon-srv-01 | 10.20.1.41 | 10.20.1.11 | 6514 | SYSLOG | 1962 | 7965 | log_collection
- BF001030 | 2026-01-20 13:40:45 | mon-srv-01 | 10.20.1.41 | 10.20.1.12 | 6514 | SYSLOG | 1538 | 13481 | log_collection
- BF001031 | 2026-01-20 13:40:46 | mon-srv-01 | 10.20.1.41 | 10.20.1.31 | 6514 | SYSLOG | 1905 | 10639 | log_collection
- BF001034 | 2026-01-20 13:41:20 | ws-dev-02 | 10.20.1.12 | 10.20.1.31 | 22 | SSH | 31541 | 34731 | dev_ssh
- BF001038 | 2026-01-20 13:42:03 | mon-srv-01 | 10.20.1.41 | 10.20.1.31 | 9100 | METRIC | 898 | 6766 | metrics_scrape
- BF001035 | 2026-01-20 13:42:05 | mon-srv-01 | 10.20.1.41 | 10.20.1.11 | 9100 | METRIC | 1594 | 8110 | metrics_scrape
- BF001040 | 2026-01-20 13:42:10 | ws-dev-02 | 10.20.1.12 | 192.0.2.30 | 443 | HTTPS | 6924 | 129152 | dev_repo_access
- BF001036 | 2026-01-20 13:42:18 | mon-srv-01 | 10.20.1.41 | 10.20.1.12 | 9100 | METRIC | 922 | 7682 | metrics_scrape
- BF001037 | 2026-01-20 13:42:21 | mon-srv-01 | 10.20.1.41 | 10.20.1.21 | 9100 | METRIC | 1151 | 8493 | metrics_scrape
- BF001039 | 2026-01-20 13:42:40 | ws-finance-01 | 10.20.1.11 | 10.20.1.31 | 443 | HTTPS | 3772 | 37172 | portal_browsing
- BF001043 | 2026-01-20 13:44:06 | mon-srv-01 | 10.20.1.41 | 10.20.1.21 | 9100 | METRIC | 1242 | 8061 | metrics_scrape
- BF001042 | 2026-01-20 13:44:17 | mon-srv-01 | 10.20.1.41 | 10.20.1.12 | 9100 | METRIC | 847 | 6516 | metrics_scrape
- BF001044 | 2026-01-20 13:44:17 | mon-srv-01 | 10.20.1.41 | 10.20.1.31 | 9100 | METRIC | 1341 | 7542 | metrics_scrape
- BF001041 | 2026-01-20 13:44:22 | mon-srv-01 | 10.20.1.41 | 10.20.1.11 | 9100 | METRIC | 826 | 5438 | metrics_scrape
- BF001048 | 2026-01-20 13:45:04 | ws-finance-01 | 10.20.1.11 | 10.20.1.31 | 443 | HTTPS | 2236 | 38181 | portal_browsing
- BF001047 | 2026-01-20 13:45:08 | mon-srv-01 | 10.20.1.41 | 10.20.1.31 | 6514 | SYSLOG | 2142 | 14265 | log_collection
- BF001046 | 2026-01-20 13:45:16 | mon-srv-01 | 10.20.1.41 | 10.20.1.12 | 6514 | SYSLOG | 1286 | 18722 | log_collection
- BF001049 | 2026-01-20 13:45:30 | ws-finance-01 | 10.20.1.11 | 192.0.2.40 | 993 | IMAPS | 3960 | 35203 | mail_sync
- BF001045 | 2026-01-20 13:45:36 | mon-srv-01 | 10.20.1.41 | 10.20.1.11 | 6514 | SYSLOG | 2324 | 8872 | log_collection
- BF001051 | 2026-01-20 13:46:02 | mon-srv-01 | 10.20.1.41 | 10.20.1.12 | 9100 | METRIC | 1209 | 6934 | metrics_scrape
- BF001050 | 2026-01-20 13:46:04 | mon-srv-01 | 10.20.1.41 | 10.20.1.11 | 9100 | METRIC | 1496 | 4289 | metrics_scrape
- BF001053 | 2026-01-20 13:46:10 | mon-srv-01 | 10.20.1.41 | 10.20.1.31 | 9100 | METRIC | 1324 | 8675 | metrics_scrape
- BF001052 | 2026-01-20 13:46:22 | mon-srv-01 | 10.20.1.41 | 10.20.1.21 | 9100 | METRIC | 1526 | 8944 | metrics_scrape
- BF001054 | 2026-01-20 13:46:23 | ws-dev-02 | 10.20.1.12 | 10.20.1.31 | 22 | SSH | 10346 | 18690 | dev_ssh
- BF001056 | 2026-01-20 13:48:06 | mon-srv-01 | 10.20.1.41 | 10.20.1.12 | 9100 | METRIC | 810 | 5049 | metrics_scrape
- BF001055 | 2026-01-20 13:48:10 | mon-srv-01 | 10.20.1.41 | 10.20.1.11 | 9100 | METRIC | 1474 | 7166 | metrics_scrape
- BF001060 | 2026-01-20 13:48:12 | file-srv-01 | 10.20.1.21 | 10.20.1.41 | 873 | RSYNC | 35467 | 10785 | backup_sync
- BF001058 | 2026-01-20 13:48:19 | mon-srv-01 | 10.20.1.41 | 10.20.1.31 | 9100 | METRIC | 1490 | 4857 | metrics_scrape
- BF001057 | 2026-01-20 13:48:22 | mon-srv-01 | 10.20.1.41 | 10.20.1.21 | 9100 | METRIC | 1067 | 8569 | metrics_scrape
- BF001059 | 2026-01-20 13:48:35 | ws-finance-01 | 10.20.1.11 | 10.20.1.31 | 443 | HTTPS | 3111 | 57483 | portal_browsing
- BF001061 | 2026-01-20 13:49:35 | ws-dev-02 | 10.20.1.12 | 192.0.2.30 | 443 | HTTPS | 6891 | 157228 | dev_repo_access

## Host metric samples
- M001403 | 2026-01-20 13:40:00 | file-srv-01 | 8.85 | 41.99 | 99898 | 11373 | 96 | 413 | smbd | normal baseline
- M001405 | 2026-01-20 13:40:00 | mon-srv-01 | 20.07 | 60.3 | 143194 | 8822 | 123 | 452 | prometheus | normal baseline
- M001404 | 2026-01-20 13:40:00 | portal-web-01 | 15.25 | 52.79 | 92597 | 8990 | 103 | 362 | nginx | normal baseline
- M001402 | 2026-01-20 13:40:00 | ws-dev-02 | 17.95 | 47.68 | 110124 | 5106 | 125 | 330 | dev-shell | normal baseline
- M001401 | 2026-01-20 13:40:00 | ws-finance-01 | 14.47 | 45.04 | 71822 | 3042 | 112 | 290 | office-apps | normal baseline
- M001408 | 2026-01-20 13:41:00 | file-srv-01 | 14.42 | 41.39 | 107278 | 5805 | 91 | 434 | smbd | normal baseline
- M001410 | 2026-01-20 13:41:00 | mon-srv-01 | 19.2 | 59.96 | 223071 | 14305 | 117 | 409 | prometheus | normal baseline
- M001409 | 2026-01-20 13:41:00 | portal-web-01 | 16.45 | 54.13 | 113924 | 9723 | 102 | 382 | nginx | normal baseline
- M001407 | 2026-01-20 13:41:00 | ws-dev-02 | 18.98 | 49.64 | 116857 | 5193 | 128 | 372 | dev-shell | normal baseline
- M001406 | 2026-01-20 13:41:00 | ws-finance-01 | 13.74 | 45.99 | 83406 | 5392 | 116 | 294 | office-apps | normal baseline
- M001413 | 2026-01-20 13:42:00 | file-srv-01 | 14.49 | 40.1 | 79593 | 4249 | 93 | 442 | smbd | normal baseline
- M001415 | 2026-01-20 13:42:00 | mon-srv-01 | 21.07 | 58.77 | 185056 | 12137 | 121 | 393 | prometheus | normal baseline
- M001414 | 2026-01-20 13:42:00 | portal-web-01 | 17.1 | 55.46 | 95205 | 4899 | 102 | 376 | nginx | normal baseline
- M001412 | 2026-01-20 13:42:00 | ws-dev-02 | 16.93 | 49.17 | 136070 | 6818 | 126 | 363 | dev-shell | normal baseline
- M001411 | 2026-01-20 13:42:00 | ws-finance-01 | 10.58 | 45.6 | 90849 | 4285 | 112 | 306 | office-apps | normal baseline
- M001418 | 2026-01-20 13:43:00 | file-srv-01 | 14.09 | 41.2 | 56326 | 12441 | 90 | 409 | smbd | normal baseline
- M001420 | 2026-01-20 13:43:00 | mon-srv-01 | 18.59 | 58.66 | 183642 | 15195 | 120 | 427 | prometheus | normal baseline
- M001419 | 2026-01-20 13:43:00 | portal-web-01 | 13.59 | 54.44 | 94621 | 4502 | 102 | 363 | nginx | normal baseline
- M001417 | 2026-01-20 13:43:00 | ws-dev-02 | 21.62 | 49.04 | 81792 | 7193 | 130 | 356 | dev-shell | normal baseline
- M001416 | 2026-01-20 13:43:00 | ws-finance-01 | 14.41 | 43.81 | 76780 | 2407 | 103 | 283 | office-apps | normal baseline
- M001423 | 2026-01-20 13:44:00 | file-srv-01 | 11.97 | 40.6 | 95500 | 14053 | 94 | 432 | smbd | normal baseline
- M001425 | 2026-01-20 13:44:00 | mon-srv-01 | 21.74 | 62.51 | 126974 | 13135 | 119 | 362 | prometheus | normal baseline
- M001424 | 2026-01-20 13:44:00 | portal-web-01 | 20.26 | 54.13 | 86752 | 7522 | 104 | 334 | nginx | normal baseline
- M001422 | 2026-01-20 13:44:00 | ws-dev-02 | 22.63 | 49.69 | 125233 | 3988 | 127 | 398 | dev-shell | normal baseline
- M001421 | 2026-01-20 13:44:00 | ws-finance-01 | 14.28 | 46.57 | 92369 | 4656 | 105 | 276 | office-apps | normal baseline
- M001428 | 2026-01-20 13:45:00 | file-srv-01 | 13.55 | 42.49 | 87768 | 12659 | 93 | 387 | smbd | normal baseline
- M001430 | 2026-01-20 13:45:00 | mon-srv-01 | 19.11 | 59.11 | 200465 | 12076 | 119 | 401 | prometheus | normal baseline
- M001429 | 2026-01-20 13:45:00 | portal-web-01 | 17.2 | 55.79 | 87800 | 6016 | 104 | 368 | nginx | normal baseline
- M001427 | 2026-01-20 13:45:00 | ws-dev-02 | 17.65 | 48.06 | 113210 | 3880 | 123 | 338 | dev-shell | normal baseline
- M001426 | 2026-01-20 13:45:00 | ws-finance-01 | 17.25 | 45.17 | 80870 | 4328 | 111 | 300 | office-apps | normal baseline

## Host metric events
