event_id,is_attack_event,stage,is_removed_in_corrupted,attack_step,description
B000054,0,benign,0,benign,create new access log
B000045,0,benign,0,benign,scrape node_exporter on file-srv-01
B000050,0,benign,0,benign,normal smb/nfs shared file access
B003693,0,benign,0,benign,normal spreadsheet read
B004838,0,benign,0,benign,normal web access log append
B004362,0,benign,0,benign,browser cache read
B000048,0,benign,0,benign,normal document access
B000049,0,benign,0,benign,normal local development/test activity
B004356,0,benign,0,benign,normal test file read
B000057,0,benign,0,benign,collect syslog stream from ws-dev-02
B000061,0,benign,0,benign,normal local development/test activity
B003684,0,benign,0,benign,browser cache read
B003564,0,benign,0,benign,normal rsync log append
B000062,0,benign,0,benign,normal internal https request
B004093,0,benign,0,benign,normal build command
B000063,0,benign,0,benign,append benign portal access log
B000058,0,benign,0,benign,collect syslog stream from portal-web-01
B000059,0,benign,0,benign,imap mail synchronization
B004711,0,benign,0,benign,browser cache read
B000060,0,benign,0,benign,update mail cache
B004508,0,benign,0,benign,normal build command
B000055,0,benign,0,benign,append log ingestion summary
B003808,0,benign,0,benign,normal rsync log append
B003974,0,benign,0,benign,normal shared file read
B004478,0,benign,0,benign,normal docker metadata read
B000056,0,benign,0,benign,collect syslog stream from ws-finance-01
B000065,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000075,0,benign,0,benign,normal internal https request
B004289,0,benign,0,benign,browser cache read
B000076,0,benign,0,benign,append benign portal access log
B000077,0,benign,0,benign,serve internal portal request
B000069,0,benign,0,benign,open internal portal page
B000070,0,benign,0,benign,update browser portal cache
B004146,0,benign,0,benign,normal web access log append
B005008,0,benign,0,benign,desktop metadata update
B000066,0,benign,0,benign,scrape node_exporter on file-srv-01
B000064,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000071,0,benign,0,benign,normal developer ssh to portal
B000067,0,benign,0,benign,scrape node_exporter on portal-web-01
B000072,0,benign,0,benign,normal developer ssh accepted
B005516,0,benign,0,benign,normal build command
B000073,0,benign,0,benign,normal smb/nfs shared file access
B000074,0,benign,0,benign,benign lock/update file created by share service
B005285,0,benign,0,benign,normal docker metadata read
B004434,0,benign,0,benign,normal spreadsheet read
B000068,0,benign,0,benign,append log ingestion summary
B004310,0,benign,0,benign,normal rsync log append
B005013,0,benign,0,benign,normal docker metadata read
B004882,0,benign,0,benign,browser cache read
B000079,0,benign,0,benign,normal local development/test activity
B000078,0,benign,0,benign,append log ingestion summary
B005079,0,benign,0,benign,normal network sensor write
B000080,0,benign,0,benign,normal internal https request
B005404,0,benign,0,benign,normal test file read
B000081,0,benign,0,benign,append benign portal access log
B004934,0,benign,0,benign,normal network sensor write
B003580,0,benign,0,benign,desktop metadata update
B000088,0,benign,0,benign,normal smb/nfs shared file access
B000089,0,benign,0,benign,benign lock/update file created by share service
B000085,0,benign,0,benign,scrape node_exporter on portal-web-01
B000083,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000082,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000084,0,benign,0,benign,scrape node_exporter on file-srv-01
B003773,0,benign,0,benign,normal build command
B005091,0,benign,0,benign,normal portal config read
B000086,0,benign,0,benign,append log ingestion summary
B000087,0,benign,0,benign,normal document access
B004760,0,benign,0,benign,normal web access log append
B000090,0,benign,0,benign,normal internal https request
B000091,0,benign,0,benign,append benign portal access log
B003752,0,benign,0,benign,browser cache read
B005446,0,benign,0,benign,normal metric wal write
B005443,0,benign,0,benign,normal docker metadata read
B003540,0,benign,0,benign,normal spreadsheet read
B004340,0,benign,0,benign,normal network sensor write
B000097,0,benign,0,benign,normal local development/test activity
B000098,0,benign,0,benign,normal internal https request
B000099,0,benign,0,benign,append benign portal access log
B000100,0,benign,0,benign,serve internal portal request
B005302,0,benign,0,benign,normal docker metadata read
B000095,0,benign,0,benign,normal package/source repository access
B000096,0,benign,0,benign,normal development file/cache update
B000092,0,benign,0,benign,append log ingestion summary
B004392,0,benign,0,benign,normal network sensor write
B003767,0,benign,0,benign,normal docker metadata read
B000093,0,benign,0,benign,open internal portal page
B000094,0,benign,0,benign,update browser portal cache
B005581,0,benign,0,benign,browser cache read
B005313,0,benign,0,benign,normal test file read
B000103,0,benign,0,benign,scrape node_exporter on file-srv-01
B000107,0,benign,0,benign,collect syslog stream from ws-dev-02
B000106,0,benign,0,benign,collect syslog stream from ws-finance-01
B000102,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000101,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000105,0,benign,0,benign,append log ingestion summary
B000104,0,benign,0,benign,scrape node_exporter on portal-web-01
B000109,0,benign,0,benign,imap mail synchronization
B000113,0,benign,0,benign,normal smb/nfs shared file access
B000108,0,benign,0,benign,collect syslog stream from portal-web-01
B000110,0,benign,0,benign,update mail cache
B000114,0,benign,0,benign,normal internal https request
B000115,0,benign,0,benign,append benign portal access log
B000111,0,benign,0,benign,benign package metadata check
B000112,0,benign,0,benign,benign package cache update
B004085,0,benign,0,benign,normal network sensor write
B003859,0,benign,0,benign,normal metric wal write
B003629,0,benign,0,benign,normal build command
B000117,0,benign,0,benign,normal developer ssh to portal
B000118,0,benign,0,benign,normal developer ssh accepted
B005524,0,benign,0,benign,desktop metadata update
B000119,0,benign,0,benign,normal internal https request
B000120,0,benign,0,benign,append benign portal access log
B000116,0,benign,0,benign,append log ingestion summary
B003606,0,benign,0,benign,normal spreadsheet read
B004865,0,benign,0,benign,desktop metadata update
B004748,0,benign,0,benign,normal network sensor write
B000122,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000124,0,benign,0,benign,scrape node_exporter on portal-web-01
B000121,0,benign,0,benign,scrape node_exporter on ws-finance-01
B004088,0,benign,0,benign,normal portal config read
B000130,0,benign,0,benign,normal smb/nfs shared file access
B000131,0,benign,0,benign,normal internal https request
B000132,0,benign,0,benign,append benign portal access log
B000133,0,benign,0,benign,serve internal portal request
B000123,0,benign,0,benign,scrape node_exporter on file-srv-01
B000126,0,benign,0,benign,open internal portal page
B000127,0,benign,0,benign,update browser portal cache
B004244,0,benign,0,benign,browser cache read
B004004,0,benign,0,benign,normal portal config read
B000128,0,benign,0,benign,normal document access
B004640,0,benign,0,benign,normal web access log append
B005324,0,benign,0,benign,normal network sensor write
B005268,0,benign,0,benign,normal build command
B004137,0,benign,0,benign,normal test file read
B000125,0,benign,0,benign,append log ingestion summary
B000129,0,benign,0,benign,normal local development/test activity
B004008,0,benign,0,benign,normal build command
B004965,0,benign,0,benign,browser cache read
B005493,0,benign,0,benign,normal build command
B003835,0,benign,0,benign,browser cache read
B004070,0,benign,0,benign,normal spreadsheet read
B000136,0,benign,0,benign,normal internal https request
B000135,0,benign,0,benign,normal local development/test activity
B000137,0,benign,0,benign,append benign portal access log
B005117,0,benign,0,benign,desktop metadata update
B003623,0,benign,0,benign,normal build command
B005511,0,benign,0,benign,normal build command
B005048,0,benign,0,benign,normal test file read
B005237,0,benign,0,benign,normal metric wal write
B004127,0,benign,0,benign,normal build command
B000134,0,benign,0,benign,append log ingestion summary
B005475,0,benign,0,benign,desktop metadata update
B000139,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000140,0,benign,0,benign,scrape node_exporter on file-srv-01
B004688,0,benign,0,benign,normal portal config read
B000141,0,benign,0,benign,scrape node_exporter on portal-web-01
B000138,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000142,0,benign,0,benign,append log ingestion summary
B003778,0,benign,0,benign,normal test file read
B000145,0,benign,0,benign,normal internal https request
B000146,0,benign,0,benign,append benign portal access log
B000143,0,benign,0,benign,normal smb/nfs shared file access
B000144,0,benign,0,benign,benign lock/update file created by share service
B005497,0,benign,0,benign,normal web access log append
B004160,0,benign,0,benign,normal portal config read
B000153,0,benign,0,benign,imap mail synchronization
B000154,0,benign,0,benign,update mail cache
B003622,0,benign,0,benign,normal portal config read
B000155,0,benign,0,benign,normal internal https request
B000156,0,benign,0,benign,append benign portal access log
B000157,0,benign,0,benign,serve internal portal request
B000149,0,benign,0,benign,collect syslog stream from ws-dev-02
B004938,0,benign,0,benign,desktop metadata update
B000147,0,benign,0,benign,append log ingestion summary
B000151,0,benign,0,benign,open internal portal page
B000152,0,benign,0,benign,update browser portal cache
B005422,0,benign,0,benign,normal web access log append
B004403,0,benign,0,benign,normal metric wal write
B000148,0,benign,0,benign,collect syslog stream from ws-finance-01
B000150,0,benign,0,benign,collect syslog stream from portal-web-01
B000160,0,benign,0,benign,scrape node_exporter on file-srv-01
B004937,0,benign,0,benign,browser cache read
B000158,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000164,0,benign,0,benign,normal developer ssh to portal
B000162,0,benign,0,benign,append log ingestion summary
B000165,0,benign,0,benign,normal developer ssh accepted
B000161,0,benign,0,benign,scrape node_exporter on portal-web-01
B000159,0,benign,0,benign,scrape node_exporter on ws-dev-02
B005290,0,benign,0,benign,normal docker metadata read
B000163,0,benign,0,benign,normal document access
B000169,0,benign,0,benign,normal smb/nfs shared file access
B000166,0,benign,0,benign,normal package/source repository access
B000167,0,benign,0,benign,normal development file/cache update
B000170,0,benign,0,benign,normal internal https request
B005172,0,benign,0,benign,normal spreadsheet read
B000171,0,benign,0,benign,append benign portal access log
B000168,0,benign,0,benign,normal local development/test activity
B000174,0,benign,0,benign,normal internal https request
B000175,0,benign,0,benign,append benign portal access log
B000172,0,benign,0,benign,append log ingestion summary
B005567,0,benign,0,benign,desktop metadata update
B005585,0,benign,0,benign,normal network sensor write
B005454,0,benign,0,benign,normal rsync log append
B004746,0,benign,0,benign,normal spreadsheet read
B000173,0,benign,0,benign,normal local development/test activity
B004889,0,benign,0,benign,desktop metadata update
B000177,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000179,0,benign,0,benign,scrape node_exporter on portal-web-01
B000176,0,benign,0,benign,scrape node_exporter on ws-finance-01
B004593,0,benign,0,benign,browser cache read
B000178,0,benign,0,benign,scrape node_exporter on file-srv-01
B005042,0,benign,0,benign,browser cache read
B003949,0,benign,0,benign,normal rsync log append
B000183,0,benign,0,benign,normal local development/test activity
B004254,0,benign,0,benign,normal rsync log append
B000187,0,benign,0,benign,normal internal https request
B000188,0,benign,0,benign,append benign portal access log
B000184,0,benign,0,benign,normal smb/nfs shared file access
B000189,0,benign,0,benign,serve internal portal request
B004183,0,benign,0,benign,normal spreadsheet read
B000185,0,benign,0,benign,backup metadata sync to monitoring server
B000186,0,benign,0,benign,normal backup manifest read
B000181,0,benign,0,benign,open internal portal page
B000182,0,benign,0,benign,update browser portal cache
B000180,0,benign,0,benign,append log ingestion summary
B000191,0,benign,0,benign,normal local development/test activity
B004899,0,benign,0,benign,normal rsync log append
B000192,0,benign,0,benign,normal internal https request
B000193,0,benign,0,benign,append benign portal access log
B003895,0,benign,0,benign,browser cache read
B005103,0,benign,0,benign,normal shared file read
B004039,0,benign,0,benign,browser cache read
B000190,0,benign,0,benign,append log ingestion summary
B004017,0,benign,0,benign,normal web access log append
B000206,0,benign,0,benign,normal smb/nfs shared file access
B000207,0,benign,0,benign,benign lock/update file created by share service
B000195,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000197,0,benign,0,benign,scrape node_exporter on portal-web-01
B000194,0,benign,0,benign,scrape node_exporter on ws-finance-01
B004233,0,benign,0,benign,browser cache read
B000196,0,benign,0,benign,scrape node_exporter on file-srv-01
B005529,0,benign,0,benign,normal spreadsheet read
B000208,0,benign,0,benign,normal internal https request
B005041,0,benign,0,benign,normal docker metadata read
B000209,0,benign,0,benign,append benign portal access log
B000199,0,benign,0,benign,collect syslog stream from ws-finance-01
B000204,0,benign,0,benign,imap mail synchronization
B000205,0,benign,0,benign,update mail cache
B000200,0,benign,0,benign,collect syslog stream from ws-dev-02
B005520,0,benign,0,benign,normal metric wal write
B004130,0,benign,0,benign,normal rsync log append
B004347,0,benign,0,benign,normal portal config read
B000198,0,benign,0,benign,append log ingestion summary
B000202,0,benign,0,benign,normal document access
B000203,0,benign,0,benign,autosave office document
B000201,0,benign,0,benign,collect syslog stream from portal-web-01
B004196,0,benign,0,benign,normal portal config read
B004468,0,benign,0,benign,normal web access log append
B000216,0,benign,0,benign,normal internal https request
B000217,0,benign,0,benign,append benign portal access log
B000218,0,benign,0,benign,serve internal portal request
B005184,0,benign,0,benign,browser cache read
B004941,0,benign,0,benign,normal spreadsheet read
B000210,0,benign,0,benign,append log ingestion summary
B003736,0,benign,0,benign,normal metric wal write
B000215,0,benign,0,benign,normal local development/test activity
B000213,0,benign,0,benign,normal developer ssh to portal
B000214,0,benign,0,benign,normal developer ssh accepted
B000211,0,benign,0,benign,open internal portal page
B000212,0,benign,0,benign,update browser portal cache
B005411,0,benign,0,benign,normal test file read
B003742,0,benign,0,benign,normal build command
B005389,0,benign,0,benign,normal test file read
B000219,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000223,0,benign,0,benign,append log ingestion summary
B004858,0,benign,0,benign,normal network sensor write
B004270,0,benign,0,benign,normal spreadsheet read
B004460,0,benign,0,benign,normal network sensor write
B000220,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000225,0,benign,0,benign,normal internal https request
B000222,0,benign,0,benign,scrape node_exporter on portal-web-01
B000226,0,benign,0,benign,append benign portal access log
B000224,0,benign,0,benign,normal smb/nfs shared file access
B000221,0,benign,0,benign,scrape node_exporter on file-srv-01
B005537,0,benign,0,benign,normal network sensor write
B003801,0,benign,0,benign,normal network sensor write
B003930,0,benign,0,benign,normal test file read
B003959,0,benign,0,benign,normal rsync log append
B005109,0,benign,0,benign,normal portal config read
B000230,0,benign,0,benign,normal internal https request
B000231,0,benign,0,benign,append benign portal access log
B003792,0,benign,0,benign,normal docker metadata read
B004140,0,benign,0,benign,normal rsync log append
B000227,0,benign,0,benign,append log ingestion summary
B004382,0,benign,0,benign,normal metric wal write
B000228,0,benign,0,benign,normal package/source repository access
B005113,0,benign,0,benign,desktop metadata update
B000229,0,benign,0,benign,normal development file/cache update
B000244,0,benign,0,benign,benign log rotation
B000232,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000241,0,benign,0,benign,normal internal https request
B000245,0,benign,0,benign,create new access log
B000234,0,benign,0,benign,scrape node_exporter on file-srv-01
B000235,0,benign,0,benign,scrape node_exporter on portal-web-01
B000242,0,benign,0,benign,append benign portal access log
B000243,0,benign,0,benign,serve internal portal request
B000233,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000240,0,benign,0,benign,normal smb/nfs shared file access
E0001,1,IA,1,A1,tls session to external update-like endpoint
B005233,0,benign,0,benign,normal portal config read
B000239,0,benign,0,benign,normal document access
B000236,0,benign,0,benign,append log ingestion summary
B005337,0,benign,0,benign,normal metric wal write
B004204,0,benign,0,benign,normal web access log append
B000237,0,benign,0,benign,open internal portal page
B000238,0,benign,0,benign,update browser portal cache
E0002,1,IA,0,A1,downloaded suspicious update container
B003969,0,benign,0,benign,normal portal config read
B004871,0,benign,0,benign,normal rsync log append
B000252,0,benign,0,benign,normal local development/test activity
B000246,0,benign,0,benign,append log ingestion summary
E0003,1,IA,1,A2,browser helper launches disguised updater
B000250,0,benign,0,benign,imap mail synchronization
B000251,0,benign,0,benign,update mail cache
E0004,1,IA,1,A2,drop user-level payload copy
B000253,0,benign,0,benign,normal internal https request
B000249,0,benign,0,benign,collect syslog stream from portal-web-01
B000254,0,benign,0,benign,append benign portal access log
E0005,1,IA,1,A2,execute dropped user-level payload
B000247,0,benign,0,benign,collect syslog stream from ws-finance-01
B004474,0,benign,0,benign,normal docker metadata read
B004327,0,benign,0,benign,normal spreadsheet read
B000248,0,benign,0,benign,collect syslog stream from ws-dev-02
B004735,0,benign,0,benign,desktop metadata update
B000256,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000257,0,benign,0,benign,scrape node_exporter on file-srv-01
B000258,0,benign,0,benign,scrape node_exporter on portal-web-01
B000260,0,benign,0,benign,normal developer ssh to portal
B000255,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000261,0,benign,0,benign,normal developer ssh accepted
B000262,0,benign,0,benign,normal smb/nfs shared file access
B000263,0,benign,0,benign,benign lock/update file created by share service
B000259,0,benign,0,benign,append log ingestion summary
B003836,0,benign,0,benign,normal rsync log append
B000264,0,benign,0,benign,normal internal https request
B000265,0,benign,0,benign,append benign portal access log
B004190,0,benign,0,benign,normal docker metadata read
B003528,0,benign,0,benign,normal web access log append
B005464,0,benign,0,benign,normal metric wal write
B003820,0,benign,0,benign,normal web access log append
B004060,0,benign,0,benign,normal rsync log append
B004868,0,benign,0,benign,normal web access log append
B003993,0,benign,0,benign,normal web access log append
B000270,0,benign,0,benign,normal internal https request
B000271,0,benign,0,benign,append benign portal access log
B000272,0,benign,0,benign,serve internal portal request
B000267,0,benign,0,benign,open internal portal page
B000268,0,benign,0,benign,update browser portal cache
B004939,0,benign,0,benign,normal test file read
B005150,0,benign,0,benign,normal test file read
B000266,0,benign,0,benign,append log ingestion summary
B004432,0,benign,0,benign,normal test file read
B004936,0,benign,0,benign,browser cache read
B000269,0,benign,0,benign,normal local development/test activity
B004913,0,benign,0,benign,normal build command
B000279,0,benign,0,benign,normal local development/test activity
B005178,0,benign,0,benign,normal portal config read
B000276,0,benign,0,benign,scrape node_exporter on portal-web-01
B003602,0,benign,0,benign,normal web access log append
B000280,0,benign,0,benign,normal smb/nfs shared file access
B003802,0,benign,0,benign,normal shared file read
B000281,0,benign,0,benign,normal internal https request
B000282,0,benign,0,benign,append benign portal access log
B000273,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000274,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000275,0,benign,0,benign,scrape node_exporter on file-srv-01
B000278,0,benign,0,benign,normal document access
B004743,0,benign,0,benign,normal rsync log append
B004128,0,benign,0,benign,normal docker metadata read
B000277,0,benign,0,benign,append log ingestion summary
B004422,0,benign,0,benign,normal build command
B005414,0,benign,0,benign,browser cache read
B005078,0,benign,0,benign,normal build command
B004576,0,benign,0,benign,normal portal config read
B000283,0,benign,0,benign,append log ingestion summary
B000284,0,benign,0,benign,normal local development/test activity
B000285,0,benign,0,benign,normal internal https request
B000286,0,benign,0,benign,append benign portal access log
E0006,1,Execution,0,A3,create local session marker
B005388,0,benign,0,benign,normal docker metadata read
B005465,0,benign,0,benign,normal network sensor write
B004246,0,benign,0,benign,desktop metadata update
B000291,0,benign,0,benign,append log ingestion summary
B000289,0,benign,0,benign,scrape node_exporter on file-srv-01
B000290,0,benign,0,benign,scrape node_exporter on portal-web-01
B000297,0,benign,0,benign,imap mail synchronization
B000288,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000298,0,benign,0,benign,update mail cache
B000287,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000292,0,benign,0,benign,collect syslog stream from ws-finance-01
B000303,0,benign,0,benign,normal internal https request
B000304,0,benign,0,benign,append benign portal access log
B000305,0,benign,0,benign,serve internal portal request
B000299,0,benign,0,benign,normal package/source repository access
B000293,0,benign,0,benign,collect syslog stream from ws-dev-02
B000300,0,benign,0,benign,normal development file/cache update
B000302,0,benign,0,benign,normal smb/nfs shared file access
B000294,0,benign,0,benign,collect syslog stream from portal-web-01
B000295,0,benign,0,benign,open internal portal page
B000296,0,benign,0,benign,update browser portal cache
B000301,0,benign,0,benign,normal local development/test activity
B004102,0,benign,0,benign,normal test file read
B005387,0,benign,0,benign,normal test file read
B000306,0,benign,0,benign,append log ingestion summary
B000307,0,benign,0,benign,normal developer ssh to portal
B000308,0,benign,0,benign,normal developer ssh accepted
B004807,0,benign,0,benign,normal web access log append
B004408,0,benign,0,benign,normal web access log append
B000310,0,benign,0,benign,normal internal https request
B000311,0,benign,0,benign,append benign portal access log
B005559,0,benign,0,benign,browser cache read
B004530,0,benign,0,benign,normal docker metadata read
B005554,0,benign,0,benign,normal rsync log append
B000309,0,benign,0,benign,normal local development/test activity
B004683,0,benign,0,benign,normal test file read
B000315,0,benign,0,benign,scrape node_exporter on portal-web-01
B000312,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000313,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000318,0,benign,0,benign,normal local development/test activity
B000314,0,benign,0,benign,scrape node_exporter on file-srv-01
B000320,0,benign,0,benign,normal internal https request
B000321,0,benign,0,benign,append benign portal access log
B000319,0,benign,0,benign,normal smb/nfs shared file access
B000317,0,benign,0,benign,normal document access
B000316,0,benign,0,benign,append log ingestion summary
B004021,0,benign,0,benign,normal metric wal write
B000328,0,benign,0,benign,normal internal https request
B000329,0,benign,0,benign,append benign portal access log
B000330,0,benign,0,benign,serve internal portal request
B000326,0,benign,0,benign,backup metadata sync to monitoring server
B000327,0,benign,0,benign,normal backup manifest read
B005298,0,benign,0,benign,normal shared file read
B003702,0,benign,0,benign,browser cache read
B000322,0,benign,0,benign,append log ingestion summary
B005174,0,benign,0,benign,normal portal config read
B000325,0,benign,0,benign,normal local development/test activity
B004543,0,benign,0,benign,normal network sensor write
B004132,0,benign,0,benign,normal test file read
B004926,0,benign,0,benign,normal rsync log append
B004793,0,benign,0,benign,normal network sensor write
B000323,0,benign,0,benign,open internal portal page
B000324,0,benign,0,benign,update browser portal cache
B000331,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000337,0,benign,0,benign,normal smb/nfs shared file access
B000338,0,benign,0,benign,benign lock/update file created by share service
B003852,0,benign,0,benign,normal spreadsheet read
B000333,0,benign,0,benign,scrape node_exporter on file-srv-01
B000334,0,benign,0,benign,scrape node_exporter on portal-web-01
B005031,0,benign,0,benign,normal web access log append
B005080,0,benign,0,benign,normal docker metadata read
B000332,0,benign,0,benign,scrape node_exporter on ws-dev-02
B003886,0,benign,0,benign,normal build command
B000335,0,benign,0,benign,append log ingestion summary
B000336,0,benign,0,benign,normal local development/test activity
B000339,0,benign,0,benign,normal internal https request
B000340,0,benign,0,benign,append benign portal access log
B000343,0,benign,0,benign,collect syslog stream from ws-dev-02
B000345,0,benign,0,benign,imap mail synchronization
B000346,0,benign,0,benign,update mail cache
B003659,0,benign,0,benign,normal docker metadata read
B000347,0,benign,0,benign,normal internal https request
B000348,0,benign,0,benign,append benign portal access log
B005368,0,benign,0,benign,normal docker metadata read
B000341,0,benign,0,benign,append log ingestion summary
B000342,0,benign,0,benign,collect syslog stream from ws-finance-01
B000344,0,benign,0,benign,collect syslog stream from portal-web-01
B005120,0,benign,0,benign,normal portal config read
B000349,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000350,0,benign,0,benign,scrape node_exporter on ws-dev-02
E0007,1,Discovery,0,A4,collect ssh configuration
B000352,0,benign,0,benign,scrape node_exporter on portal-web-01
B000361,0,benign,0,benign,normal smb/nfs shared file access
B000351,0,benign,0,benign,scrape node_exporter on file-srv-01
B000353,0,benign,0,benign,append log ingestion summary
B000358,0,benign,0,benign,normal developer ssh to portal
B000359,0,benign,0,benign,normal developer ssh accepted
E0008,1,Discovery,0,A4,collect host aliases
B000354,0,benign,0,benign,open internal portal page
B000355,0,benign,0,benign,update browser portal cache
B000356,0,benign,0,benign,normal document access
B000360,0,benign,0,benign,normal local development/test activity
B000357,0,benign,0,benign,autosave office document
B004462,0,benign,0,benign,normal network sensor write
B000362,0,benign,0,benign,normal internal https request
B000363,0,benign,0,benign,append benign portal access log
B000364,0,benign,0,benign,serve internal portal request
B005572,0,benign,0,benign,normal build command
B005319,0,benign,0,benign,normal network sensor write
B004082,0,benign,0,benign,normal test file read
B004129,0,benign,0,benign,normal shared file read
B004316,0,benign,0,benign,normal test file read
E0009,1,Discovery,0,A4,open local shell for environment checks
E0010,1,Discovery,0,A4,identity check
B003863,0,benign,0,benign,normal shared file read
E0011,1,Discovery,0,A4,host check
B000365,0,benign,0,benign,append log ingestion summary
B000368,0,benign,0,benign,normal internal https request
B000369,0,benign,0,benign,append benign portal access log
B005075,0,benign,0,benign,desktop metadata update
B000366,0,benign,0,benign,normal package/source repository access
B005066,0,benign,0,benign,normal rsync log append
B000367,0,benign,0,benign,normal development file/cache update
B004279,0,benign,0,benign,browser cache read
B000376,0,benign,0,benign,normal internal https request
B004182,0,benign,0,benign,normal network sensor write
B000377,0,benign,0,benign,append benign portal access log
B000373,0,benign,0,benign,scrape node_exporter on portal-web-01
